,#Reviews,developer
225,114,Actalogic
226,754,Blendo Games
227,11,Paradox Interactive
228,491,Puppygames
229,729,Steel Monkeys
230,374,"Trine Studios, G3 Community Patch Team, Mad Vulture Games"
231,383,Big Sandwich Games
232,12,Arrowhead Game Studios
233,67,Straandlooper
234,32,Killspace Entertainment
235,471,Alientrap
236,"2,178",Giant Army
237,"5,208",TaleWorlds Entertainment
238,35,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)"
239,63,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)"
240,750,TimeGate Studios
241,415,Power of 2
242,"5,579",Splash Damage
243,23,Incinerator Studios
244,64,Kot in Action Creative Artel
245,307,Haemimont Games
246,16,DTP
247,66,Jason Rohrer
248,"179,000",Re-Logic
249,"1,348",Sandswept Studios
250,402,Geoff Keighley
251,639,Microids
252,20,Arrowhead Game Studios
253,14,Arrowhead Game Studios
254,28,SimBin
255,194,Bedlam Games
256,425,Headup Games / Crenetic
257,56,Secret Base
258,503,1C: Maddox Games
259,96,YeaBoing
260,180,Mystic Box
261,15,Digitalmindsoft
262,13,Zachtronics
263,"1,900",Ubisoft Montpellier
264,68,Sigma Team Inc.
265,355,Swing Swing Submarine
266,273,Spiderweb Software
267,11,Paradox Interactive
268,42,TimeGate Studios
269,39,TimeGate Studios
270,172,GSC Game World
271,"1,185","Grey Havens, LLC"
272,89,Hothead Games
273,"5,993",Haemimont Games
274,"2,213",ACE Team
275,506,1C Entertainment
276,116,"Octane Games, Meridian4"
277,243,Paradox Development Studio
278,16,PomPom
279,81,HeR Interactive
280,"4,038",Robot Entertainment
281,85,"Akella, .dat"
282,280,Days of Wonder
283,38,Dovetail Games
284,"4,819",Blackhole
285,"1,623",Double Fine Productions
286,228,The Sims Studio
287,18,PomPom
288,27,Creat Studios Inc
289,211,Team17 Digital Ltd
290,915,Iridium Studios
291,161,Ideas Pad
292,508,"Vlambeer, Croteam"
293,284,b-Alive
294,264,Spellbound Studios
295,39,Obsidian Entertainment
296,38,Robot Entertainment
297,759,Joshua Neurnberger
298,107,Spectral Games
299,558,Avalanche Studios
300,77,Digital Eel
301,355,Bohemia Interactive
302,89,Nemesys Games
303,43,Cipher Prime Studios
304,506,Digital Reality
305,14,Arrowhead Game Studios
306,59,Arrowhead Game Studios
307,41,Unicorn Games Studio
308,46,"KrossRails, Dovetail Games"
309,708,Stardock Entertainment
310,10,Avalanche Studios
311,"1,760",Team 6 Studios
312,16,"Haemimont Games, Feral Interactive (Mac)"
313,618,"Vicious Cycle Software, Inc."
314,552,Gas Powered Games
315,708,Wadjet Eye Games
316,282,Wadjet Eye Games
317,373,StarWraith 3D Games LLC
318,848,Hitbox Team
319,250,Devil's Details
320,101,Devil's Details
321,833,SEGA
322,"1,754",Blit Software
323,"18,156",Paradox Development Studio
324,14,Paradox Interactive
325,25,Paradox Interactive
326,"16,127",Remedy Entertainment
327,28,Thomson Interactive
328,90,Little Green Men Games
329,"27,270","Wild Shadow Studios, Deca Games"
330,127,Med-Art
331,"1,374","UBIart Montpellier, Feral Interactive (Mac)"
332,48,"Grey Havens, LLC"
333,18,virtualRailroads
334,106,Cobra Mobile
335,264,Strange Loop Games
336,84,MumboJumbo
337,112,Remedy Entertainment
338,111,Bootsnake Games
339,41,The Sims Studio
340,694,Double Fine Productions
341,30,Dovetail Games
342,52,Aerosoft GmbH
343,186,1C-SoftClub
344,18,Eugen Systems
345,12,virtualRailroads
346,"1,129","Capybara, Superbrothers, Jim Guthrie"
347,355,Shadow Planet Productions
348,10,Paradox Interactive
349,10,Paradox Interactive
350,107,Paradox Development Studio
351,170,Biart
352,319,Dark Artz Entertainment
353,111,Waterlily Games
354,168,"Arcen Games, LLC"
355,92,exDream
356,391,Joakim Sandberg
357,"1,455",Piranha Bytes
358,15,HeR Interactive
359,10,Dovetail Games
360,56,Dovetail Games
361,70,Positech Games
362,50,Sigma Team Inc.
363,"3,346",Remedy Entertainment
364,621,"X1 Software, AWAR"
365,30,Piranha Bytes
366,"1,996",FireFly Studios
367,377,Pivotal Games
368,625,"Edmund McMillen, Florian Himsl"
369,417,Zeboyd Games
370,"1,082",Daedalic Entertainment
371,"2,244","Standing Stone Games, LLC"
372,238,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)"
373,17,Paradox Development Studio
374,78,Paradox Development Studio
375,"1,069",Airtight Games
376,"16,267","Hardsuit Labs, Inc."
377,40,Cyanide Studio
378,12,Cyanide Studios
379,"16,227","Rocksteady Studios, Feral Interactive (Mac)"
380,296,XII Games
381,236,Yeti Trunk
382,57,Misfits Attic
383,"24,139",Ronimo Games
384,28,Ronimo Games
385,20,Dovetail Games
386,31,Dovetail Games
