,all_ratio,genre
1229,98%,Strategy
1230,98%,Strategy
1237,87%,Strategy
1239,79%,Strategy
1240,81%,Strategy
1241,44%,Strategy
1256,72%,Strategy
1265,89%,Strategy
1266,94%,Strategy
1270,95%,Strategy
1278,64%,Strategy
1290,95%,Strategy
1295,38%,Strategy
1296,82%,Strategy
1299,100%,Strategy
1302,79%,Strategy
1307,100%,Strategy
1318,41%,Strategy
1322,75%,Strategy
1323,86%,Strategy
1327,73%,Strategy
1328,62%,Strategy
1329,52%,Strategy
1330,87%,Strategy
1332,63%,Strategy
1333,42%,Strategy
1340,95%,Strategy
1349,47%,Strategy
1351,81%,Strategy
1354,54%,Strategy
1355,64%,Strategy
1357,87%,Strategy
1360,81%,Strategy
1361,85%,Strategy
1365,73%,Strategy
1367,78%,Strategy
1408,85%,Strategy
1410,48%,Strategy
1418,32%,Strategy
1423,30%,Strategy
1434,79%,Strategy
1439,33%,Strategy
1443,88%,Strategy
1457,45%,Strategy
1461,75%,Strategy
1463,81%,Strategy
1467,77%,Strategy
1469,77%,Strategy
1481,73%,Strategy
1483,85%,Strategy
1491,71%,Strategy
1506,80%,Strategy
1512,35%,Strategy
1516,84%,Strategy
1517,57%,Strategy
1533,88%,Strategy
1539,93%,Strategy
1542,85%,Strategy
1548,95%,Strategy
1551,75%,Strategy
1554,93%,Strategy
1556,70%,Strategy
1564,55%,Strategy
1570,65%,Strategy
1578,50%,Strategy
1585,56%,Strategy
1589,33%,Strategy
1591,74%,Strategy
1601,51%,Strategy
1605,84%,Strategy
1607,89%,Strategy
1608,92%,Strategy
1610,78%,Strategy
1614,27%,Strategy
1618,67%,Strategy
1623,58%,Strategy
1625,77%,Strategy
1627,68%,Strategy
1638,70%,Strategy
1645,73%,Strategy
1646,100%,Strategy
1651,49%,Strategy
1655,51%,Strategy
1656,94%,Strategy
1662,27%,Strategy
1664,58%,Strategy
1665,91%,Strategy
1667,75%,Strategy
1674,35%,Strategy
1677,79%,Strategy
1681,36%,Strategy
1682,21%,Strategy
1690,54%,Strategy
1692,50%,Strategy
1696,89%,Strategy
1705,78%,Strategy
1708,51%,Strategy
1729,95%,Strategy
1731,42%,Strategy
1735,76%,Strategy
1745,74%,Strategy
1750,88%,Strategy
1757,86%,Strategy
1762,94%,Strategy
1772,57%,Strategy
1781,41%,Strategy
1787,96%,Strategy
1809,69%,Strategy
1810,93%,Strategy
1818,85%,Strategy
1822,80%,Strategy
1823,59%,Strategy
1829,71%,Strategy
1838,68%,Strategy
1841,54%,Strategy
1848,93%,Strategy
1851,65%,Strategy
1858,68%,Strategy
1860,96%,Strategy
1864,62%,Strategy
1866,83%,Strategy
1872,86%,Strategy
1875,56%,Strategy
1880,76%,Strategy
1892,62%,Strategy
1893,87%,Strategy
1902,76%,Strategy
1904,68%,Strategy
1907,84%,Strategy
1911,62%,Strategy
1915,94%,Strategy
1916,100%,Strategy
1920,55%,Strategy
1921,59%,Strategy
1922,46%,Strategy
1923,96%,Strategy
1924,83%,Strategy
1925,94%,Strategy
1926,36%,Strategy
1939,34%,Strategy
1943,78%,Strategy
1944,100%,Strategy
1947,84%,Strategy
1951,64%,Strategy
1954,30%,Strategy
1956,75%,Strategy
1962,45%,Strategy
1963,63%,Strategy
1965,86%,Strategy
1967,68%,Strategy
1968,52%,Strategy
1984,75%,Strategy
1987,70%,Strategy
1993,54%,Strategy
2002,76%,Strategy
2011,42%,Strategy
2012,84%,Strategy
2018,84%,Strategy
2029,92%,Strategy
2045,92%,Strategy
2051,79%,Strategy
2061,58%,Strategy
2062,80%,Strategy
2064,35%,Strategy
2079,37%,Strategy
2083,58%,Strategy
2084,81%,Strategy
2087,87%,Strategy
2088,91%,Strategy
2099,78%,Strategy
2117,76%,Strategy
2121,87%,Strategy
2122,87%,Strategy
2138,40%,Strategy
2140,58%,Strategy
2142,33%,Strategy
2144,75%,Strategy
2145,70%,Strategy
2149,76%,Strategy
2160,65%,Strategy
2161,78%,Strategy
2169,73%,Strategy
2178,52%,Strategy
2179,75%,Strategy
2181,97%,Strategy
2182,67%,Strategy
2189,40%,Strategy
2195,50%,Strategy
2197,67%,Strategy
2198,75%,Strategy
2245,32%,Strategy
2246,83%,Strategy
2247,43%,Strategy
2250,84%,Strategy
2261,78%,Strategy
2265,77%,Strategy
2272,36%,Strategy
2274,73%,Strategy
2292,90%,Strategy
2297,65%,Strategy
2303,91%,Strategy
2304,46%,Strategy
2305,40%,Strategy
2311,25%,Strategy
2312,100%,Strategy
2318,74%,Strategy
2332,60%,Strategy
2333,100%,Strategy
2342,79%,Strategy
2349,94%,Strategy
2359,52%,Strategy
2364,61%,Strategy
2371,38%,Strategy
2372,78%,Strategy
2378,60%,Strategy
2379,83%,Strategy
2380,46%,Strategy
2384,100%,Strategy
2386,76%,Strategy
2388,43%,Strategy
2394,54%,Strategy
2397,80%,Strategy
2400,54%,Strategy
2404,81%,Strategy
2406,72%,Strategy
2420,50%,Strategy
2426,63%,Strategy
2432,87%,Strategy
2434,86%,Strategy
2435,94%,Strategy
2438,77%,Strategy
2448,75%,Strategy
2457,87%,Strategy
2458,76%,Strategy
2476,100%,Strategy
2482,62%,Strategy
2496,80%,Strategy
2509,63%,Strategy
2510,65%,Strategy
2521,63%,Strategy
2522,82%,Strategy
2535,85%,Strategy
2543,78%,Strategy
2550,69%,Strategy
2551,41%,Strategy
2554,62%,Strategy
2556,75%,Strategy
2562,80%,Strategy
2568,68%,Strategy
2570,69%,Strategy
2571,80%,Strategy
2588,60%,Strategy
2593,21%,Strategy
2594,93%,Strategy
2596,75%,Strategy
2599,90%,Strategy
2602,62%,Strategy
2603,70%,Strategy
2608,95%,Strategy
2610,60%,Strategy
2614,66%,Strategy
2615,83%,Strategy
2624,66%,Strategy
2626,57%,Strategy
2627,58%,Strategy
2633,62%,Strategy
2637,90%,Strategy
2639,67%,Strategy
2646,50%,Strategy
2650,47%,Strategy
2654,90%,Strategy
2655,68%,Strategy
2656,56%,Strategy
2657,85%,Strategy
2668,61%,Strategy
2669,50%,Strategy
2671,62%,Strategy
2673,57%,Strategy
2682,87%,Strategy
2691,54%,Strategy
2693,64%,Strategy
2703,46%,Strategy
2706,83%,Strategy
2707,67%,Strategy
2713,100%,Strategy
2718,59%,Strategy
2724,98%,Strategy
2727,64%,Strategy
2728,46%,Strategy
2732,68%,Strategy
2735,75%,Strategy
2738,54%,Strategy
2741,83%,Strategy
2744,51%,Strategy
2746,93%,Strategy
2762,51%,Strategy
2772,60%,Strategy
2776,78%,Strategy
2780,76%,Strategy
2781,70%,Strategy
2791,81%,Strategy
2801,81%,Strategy
2802,57%,Strategy
2804,53%,Strategy
2807,94%,Strategy
2814,60%,Strategy
2815,57%,Strategy
2828,75%,Strategy
2837,86%,Strategy
2840,37%,Strategy
2843,88%,Strategy
2844,61%,Strategy
2846,81%,Strategy
2852,91%,Strategy
2861,74%,Strategy
2875,74%,Strategy
2883,93%,Strategy
2895,85%,Strategy
2896,68%,Strategy
2897,72%,Strategy
2920,50%,Strategy
2927,93%,Strategy
2933,95%,Strategy
2936,65%,Strategy
2944,85%,Strategy
2945,66%,Strategy
2947,66%,Strategy
2950,100%,Strategy
2955,86%,Strategy
2963,83%,Strategy
2967,61%,Strategy
2968,58%,Strategy
2978,92%,Strategy
2992,53%,Strategy
2994,74%,Strategy
3010,90%,Strategy
3022,87%,Strategy
3025,45%,Strategy
3041,63%,Strategy
3053,26%,Strategy
3057,96%,Strategy
3058,91%,Strategy
3061,79%,Strategy
3072,88%,Strategy
3081,81%,Strategy
3087,95%,Strategy
3093,55%,Strategy
3100,78%,Strategy
3106,80%,Strategy
3110,45%,Strategy
3123,87%,Strategy
3125,72%,Strategy
3127,89%,Strategy
3133,80%,Strategy
3153,75%,Strategy
3165,65%,Strategy
3169,72%,Strategy
3170,95%,Strategy
3174,91%,Strategy
3177,75%,Strategy
3183,52%,Strategy
3186,92%,Strategy
3189,84%,Strategy
3201,94%,Strategy
3208,100%,Strategy
3209,89%,Strategy
3211,36%,Strategy
3214,89%,Strategy
3215,75%,Strategy
3218,89%,Strategy
3219,94%,Strategy
3223,11%,Strategy
3260,85%,Strategy
3266,80%,Strategy
3269,76%,Strategy
3284,85%,Strategy
3285,68%,Strategy
3289,68%,Strategy
3294,100%,Strategy
3302,50%,Strategy
3313,48%,Strategy
3317,92%,Strategy
3321,73%,Strategy
3324,98%,Strategy
3331,45%,Strategy
3358,89%,Strategy
3360,72%,Strategy
3362,64%,Strategy
3364,95%,Strategy
3371,93%,Strategy
3372,66%,Strategy
3384,71%,Strategy
3389,65%,Strategy
3390,100%,Strategy
3392,92%,Strategy
3396,100%,Strategy
3413,61%,Strategy
3423,44%,Strategy
3430,83%,Strategy
3431,83%,Strategy
3459,33%,Strategy
3478,60%,Strategy
3482,88%,Strategy
3502,55%,Strategy
3513,52%,Strategy
3514,90%,Strategy
3516,72%,Strategy
3520,88%,Strategy
3521,41%,Strategy
3525,90%,Strategy
3528,76%,Strategy
3532,78%,Strategy
3534,82%,Strategy
3536,35%,Strategy
3540,61%,Strategy
3560,33%,Strategy
3571,100%,Strategy
3572,64%,Strategy
3576,28%,Strategy
3587,51%,Strategy
3594,96%,Strategy
3596,85%,Strategy
3610,75%,Strategy
3613,60%,Strategy
3614,51%,Strategy
3622,69%,Strategy
3626,80%,Strategy
3633,76%,Strategy
3634,73%,Strategy
3637,76%,Strategy
3657,37%,Strategy
3658,89%,Strategy
3663,75%,Strategy
3665,81%,Strategy
3666,91%,Strategy
3671,72%,Strategy
3693,86%,Strategy
3694,53%,Strategy
3695,86%,Strategy
3705,36%,Strategy
3708,86%,Strategy
3713,73%,Strategy
3714,59%,Strategy
3719,48%,Strategy
3751,100%,Strategy
3753,89%,Strategy
3754,84%,Strategy
3756,60%,Strategy
3758,59%,Strategy
3760,40%,Strategy
3761,64%,Strategy
