,all_ratio,genre
7247,50%,Strategy
7257,57%,Strategy
7260,83%,Strategy
7261,57%,Strategy
7262,82%,Strategy
7265,79%,Strategy
7269,64%,Strategy
7270,90%,Strategy
7276,86%,Strategy
7278,81%,Strategy
7291,90%,Strategy
7297,89%,Strategy
7305,75%,Strategy
7306,94%,Strategy
7316,79%,Strategy
7317,36%,Strategy
7318,82%,Strategy
7321,84%,Strategy
7332,80%,Strategy
7342,76%,Strategy
7356,100%,Strategy
7366,65%,Strategy
7367,86%,Strategy
7368,37%,Strategy
7373,70%,Strategy
7377,58%,Strategy
7378,46%,Strategy
7396,81%,Strategy
7403,92%,Strategy
7404,92%,Strategy
7406,84%,Strategy
7412,60%,Strategy
7420,35%,Strategy
7430,57%,Strategy
7433,90%,Strategy
7440,78%,Strategy
7441,76%,Strategy
7446,68%,Strategy
7452,87%,Strategy
7455,75%,Strategy
7457,56%,Strategy
7460,87%,Strategy
7466,84%,Strategy
7469,72%,Strategy
7475,77%,Strategy
7476,81%,Strategy
7480,44%,Strategy
7481,83%,Strategy
7489,94%,Strategy
7498,68%,Strategy
7503,60%,Strategy
7509,83%,Strategy
7513,100%,Strategy
7514,92%,Strategy
7529,69%,Strategy
7531,71%,Strategy
7542,90%,Strategy
7557,91%,Strategy
7565,84%,Strategy
7574,80%,Strategy
7577,71%,Strategy
7581,25%,Strategy
7584,61%,Strategy
7588,71%,Strategy
7592,100%,Strategy
7604,58%,Strategy
7611,81%,Strategy
7613,62%,Strategy
7625,63%,Strategy
7638,81%,Strategy
7647,45%,Strategy
7650,95%,Strategy
7652,54%,Strategy
7656,47%,Strategy
7680,92%,Strategy
7697,56%,Strategy
7699,85%,Strategy
7702,79%,Strategy
7705,81%,Strategy
7706,84%,Strategy
7713,93%,Strategy
7720,71%,Strategy
7731,76%,Strategy
7740,62%,Strategy
7752,78%,Strategy
7758,83%,Strategy
7761,77%,Strategy
7771,90%,Strategy
7782,83%,Strategy
7784,88%,Strategy
7799,70%,Strategy
7801,61%,Strategy
7802,52%,Strategy
7805,91%,Strategy
7806,70%,Strategy
7808,74%,Strategy
7810,76%,Strategy
7824,80%,Strategy
7834,95%,Strategy
7837,70%,Strategy
7847,79%,Strategy
7851,62%,Strategy
7859,64%,Strategy
7861,87%,Strategy
7885,68%,Strategy
7899,75%,Strategy
7902,96%,Strategy
7905,69%,Strategy
7912,54%,Strategy
7913,67%,Strategy
7915,90%,Strategy
7923,70%,Strategy
7934,71%,Strategy
7960,80%,Strategy
7980,72%,Strategy
7983,81%,Strategy
7985,95%,Strategy
8000,69%,Strategy
8005,47%,Strategy
8033,86%,Strategy
8036,97%,Strategy
8037,69%,Strategy
8044,13%,Strategy
8048,71%,Strategy
8050,68%,Strategy
8052,71%,Strategy
8063,87%,Strategy
8066,96%,Strategy
8073,70%,Strategy
8080,70%,Strategy
8081,49%,Strategy
8088,63%,Strategy
8090,81%,Strategy
8091,88%,Strategy
8094,89%,Strategy
8109,89%,Strategy
8117,74%,Strategy
8118,84%,Strategy
8119,93%,Strategy
8120,100%,Strategy
8145,85%,Strategy
8148,81%,Strategy
8162,54%,Strategy
8164,94%,Strategy
8166,66%,Strategy
8169,54%,Strategy
8171,68%,Strategy
8173,70%,Strategy
8176,45%,Strategy
8180,54%,Strategy
8196,60%,Strategy
8201,82%,Strategy
8211,92%,Strategy
8212,63%,Strategy
8215,55%,Strategy
8225,69%,Strategy
8228,85%,Strategy
8229,94%,Strategy
8230,72%,Strategy
8238,100%,Strategy
8264,83%,Strategy
8266,70%,Strategy
8267,81%,Strategy
8271,71%,Strategy
8276,72%,Strategy
8293,91%,Strategy
8294,66%,Strategy
8300,93%,Strategy
8305,93%,Strategy
8318,90%,Strategy
8321,81%,Strategy
8352,70%,Strategy
8358,59%,Strategy
8359,67%,Strategy
8361,74%,Strategy
8377,70%,Strategy
8378,66%,Strategy
8379,68%,Strategy
8381,60%,Strategy
8386,94%,Strategy
8399,93%,Strategy
8411,70%,Strategy
8413,83%,Strategy
8422,95%,Strategy
8429,69%,Strategy
8438,93%,Strategy
8451,94%,Strategy
8457,52%,Strategy
8458,91%,Strategy
8468,73%,Strategy
8482,58%,Strategy
8492,57%,Strategy
8495,47%,Strategy
8499,90%,Strategy
8500,80%,Strategy
8502,91%,Strategy
8512,75%,Strategy
8516,98%,Strategy
8517,70%,Strategy
8520,80%,Strategy
8521,100%,Strategy
8526,71%,Strategy
8530,78%,Strategy
8533,70%,Strategy
8544,91%,Strategy
8547,86%,Strategy
8556,79%,Strategy
8568,94%,Strategy
8569,89%,Strategy
8570,80%,Strategy
8571,100%,Strategy
8577,73%,Strategy
8580,87%,Strategy
8584,69%,Strategy
8590,48%,Strategy
8610,51%,Strategy
8615,93%,Strategy
8616,71%,Strategy
8648,77%,Strategy
8652,38%,Strategy
8653,50%,Strategy
8657,68%,Strategy
8667,96%,Strategy
8668,90%,Strategy
8670,96%,Strategy
8681,70%,Strategy
8684,94%,Strategy
8687,64%,Strategy
8689,81%,Strategy
8691,88%,Strategy
8697,61%,Strategy
8698,91%,Strategy
8701,27%,Strategy
8704,80%,Strategy
8718,88%,Strategy
8751,82%,Strategy
8765,100%,Strategy
8767,68%,Strategy
8779,70%,Strategy
8782,69%,Strategy
8784,87%,Strategy
8795,52%,Strategy
8796,66%,Strategy
8799,63%,Strategy
8801,93%,Strategy
8803,65%,Strategy
8808,86%,Strategy
8813,18%,Strategy
8819,92%,Strategy
8822,100%,Strategy
8824,76%,Strategy
8826,71%,Strategy
8827,60%,Strategy
8836,50%,Strategy
8848,91%,Strategy
8853,100%,Strategy
8856,84%,Strategy
8858,52%,Strategy
8862,85%,Strategy
8865,57%,Strategy
8869,77%,Strategy
8874,82%,Strategy
8875,48%,Strategy
8879,66%,Strategy
8884,70%,Strategy
8887,70%,Strategy
8888,51%,Strategy
8891,68%,Strategy
8898,91%,Strategy
8915,100%,Strategy
8918,38%,Strategy
8919,83%,Strategy
8921,81%,Strategy
8925,41%,Strategy
8926,59%,Strategy
8931,80%,Strategy
8936,48%,Strategy
8938,97%,Strategy
8953,79%,Strategy
8965,63%,Strategy
8973,27%,Strategy
8990,66%,Strategy
8991,43%,Strategy
8998,80%,Strategy
9007,80%,Strategy
9013,71%,Strategy
9027,77%,Strategy
9029,64%,Strategy
9038,61%,Strategy
9039,56%,Strategy
9043,92%,Strategy
9045,93%,Strategy
9049,90%,Strategy
9050,79%,Strategy
9058,54%,Strategy
9069,57%,Strategy
9072,70%,Strategy
9073,48%,Strategy
9075,100%,Strategy
9086,100%,Strategy
9090,100%,Strategy
9091,70%,Strategy
9095,86%,Strategy
9144,81%,Strategy
9150,79%,Strategy
9167,76%,Strategy
9180,71%,Strategy
9191,70%,Strategy
9195,66%,Strategy
9207,71%,Strategy
9209,45%,Strategy
9211,63%,Strategy
9219,50%,Strategy
9228,67%,Strategy
9232,81%,Strategy
9240,82%,Strategy
9251,55%,Strategy
9259,41%,Strategy
9265,90%,Strategy
9270,64%,Strategy
9275,37%,Strategy
9285,70%,Strategy
9286,61%,Strategy
9290,51%,Strategy
9298,52%,Strategy
9302,67%,Strategy
9313,82%,Strategy
9318,92%,Strategy
9327,73%,Strategy
9331,66%,Strategy
9334,78%,Strategy
9336,82%,Strategy
9337,70%,Strategy
9338,84%,Strategy
9350,46%,Strategy
9353,61%,Strategy
9355,80%,Strategy
9356,83%,Strategy
9364,74%,Strategy
9366,70%,Strategy
9367,72%,Strategy
9380,69%,Strategy
9384,70%,Strategy
9391,54%,Strategy
9395,55%,Strategy
9398,85%,Strategy
9406,80%,Strategy
9413,93%,Strategy
9418,81%,Strategy
9443,71%,Strategy
9446,61%,Strategy
9454,84%,Strategy
9455,53%,Strategy
9469,46%,Strategy
9471,93%,Strategy
9502,25%,Strategy
9511,78%,Strategy
9515,56%,Strategy
9517,72%,Strategy
9523,72%,Strategy
9527,100%,Strategy
9535,84%,Strategy
9536,71%,Strategy
9553,82%,Strategy
9554,83%,Strategy
9556,78%,Strategy
9568,60%,Strategy
9569,66%,Strategy
9570,93%,Strategy
9573,44%,Strategy
9577,45%,Strategy
9590,62%,Strategy
9601,50%,Strategy
9613,94%,Strategy
9619,64%,Strategy
9635,90%,Strategy
9649,86%,Strategy
9651,71%,Strategy
9652,70%,Strategy
9658,44%,Strategy
9660,79%,Strategy
9662,87%,Strategy
9664,78%,Strategy
9665,65%,Strategy
9669,25%,Strategy
9677,85%,Strategy
9681,85%,Strategy
9685,90%,Strategy
9702,66%,Strategy
9703,44%,Strategy
9723,88%,Strategy
9730,92%,Strategy
9731,81%,Strategy
9733,66%,Strategy
9736,70%,Strategy
9739,76%,Strategy
9746,78%,Strategy
9748,77%,Strategy
9749,85%,Strategy
9750,90%,Strategy
9760,53%,Strategy
9779,65%,Strategy
9784,79%,Strategy
9786,100%,Strategy
9793,72%,Strategy
9798,68%,Strategy
9803,61%,Strategy
9811,74%,Strategy
9819,77%,Strategy
9821,81%,Strategy
9827,84%,Strategy
9839,46%,Strategy
9842,87%,Strategy
9849,66%,Strategy
9856,56%,Strategy
9858,38%,Strategy
9860,23%,Strategy
9877,79%,Strategy
9882,67%,Strategy
9884,71%,Strategy
9886,89%,Strategy
9896,58%,Strategy
9900,45%,Strategy
9902,76%,Strategy
9905,58%,Strategy
9910,100%,Strategy
9911,82%,Strategy
9917,46%,Strategy
9924,71%,Strategy
9926,94%,Strategy
9933,85%,Strategy
9938,82%,Strategy
9942,93%,Strategy
9947,26%,Strategy
9951,96%,Strategy
9958,79%,Strategy
9961,59%,Strategy
9962,82%,Strategy
9969,30%,Strategy
9974,61%,Strategy
9979,64%,Strategy
9980,68%,Strategy
9986,77%,Strategy
9992,66%,Strategy
9993,50%,Strategy
9994,56%,Strategy
9995,71%,Strategy
9996,86%,Strategy
9999,91%,Strategy
10000,72%,Strategy
10005,85%,Strategy
10009,76%,Strategy
10011,63%,Strategy
10020,83%,Strategy
10027,62%,Strategy
10029,100%,Strategy
10068,85%,Strategy
10069,68%,Strategy
10070,83%,Strategy
10073,87%,Strategy
10074,90%,Strategy
10078,100%,Strategy
10081,97%,Strategy
10085,84%,Strategy
10092,91%,Strategy
10100,78%,Strategy
10104,70%,Strategy
10110,55%,Strategy
10111,92%,Strategy
10118,52%,Strategy
10123,48%,Strategy
10125,82%,Strategy
10127,44%,Strategy
10133,58%,Strategy
10151,88%,Strategy
10152,68%,Strategy
10159,80%,Strategy
10168,67%,Strategy
10173,40%,Strategy
10192,73%,Strategy
10197,46%,Strategy
10214,69%,Strategy
10221,70%,Strategy
10228,42%,Strategy
10241,85%,Strategy
10243,78%,Strategy
10250,81%,Strategy
10251,52%,Strategy
10253,63%,Strategy
10254,96%,Strategy
10260,66%,Strategy
10270,88%,Strategy
10271,100%,Strategy
10274,61%,Strategy
10282,89%,Strategy
10291,95%,Strategy
10300,100%,Strategy
10303,35%,Strategy
10307,51%,Strategy
10314,40%,Strategy
10319,82%,Strategy
10320,74%,Strategy
10329,87%,Strategy
10330,76%,Strategy
10336,86%,Strategy
10339,46%,Strategy
10346,82%,Strategy
10348,72%,Strategy
10357,91%,Strategy
10360,93%,Strategy
10362,87%,Strategy
10376,75%,Strategy
10396,100%,Strategy
10397,72%,Strategy
10409,50%,Strategy
10410,78%,Strategy
10414,79%,Strategy
10426,43%,Strategy
10428,48%,Strategy
10429,72%,Strategy
10439,67%,Strategy
10449,70%,Strategy
10461,57%,Strategy
10469,71%,Strategy
10478,51%,Strategy
10482,44%,Strategy
10483,91%,Strategy
10508,89%,Strategy
10516,53%,Strategy
10519,72%,Strategy
10541,7%,Strategy
10545,65%,Strategy
10559,34%,Strategy
10571,56%,Strategy
10574,100%,Strategy
10575,84%,Strategy
10580,81%,Strategy
10585,92%,Strategy
10586,23%,Strategy
10587,62%,Strategy
10592,90%,Strategy
10598,71%,Strategy
10623,88%,Strategy
10624,44%,Strategy
10627,59%,Strategy
10638,35%,Strategy
10644,61%,Strategy
10645,56%,Strategy
10647,96%,Strategy
10648,81%,Strategy
10649,76%,Strategy
10666,83%,Strategy
10667,81%,Strategy
10693,90%,Strategy
10698,82%,Strategy
10709,90%,Strategy
10714,59%,Strategy
10717,55%,Strategy
10750,94%,Strategy
10755,25%,Strategy
10756,89%,Strategy
10762,80%,Strategy
10766,92%,Strategy
10768,72%,Strategy
10795,100%,Strategy
10811,93%,Strategy
10823,92%,Strategy
10824,31%,Strategy
10836,72%,Strategy
10847,56%,Strategy
10848,94%,Strategy
10850,90%,Strategy
10851,55%,Strategy
10863,92%,Strategy
10876,80%,Strategy
10877,80%,Strategy
10878,37%,Strategy
10904,45%,Strategy
10910,71%,Strategy
10920,87%,Strategy
10925,86%,Strategy
10931,39%,Strategy
10933,69%,Strategy
10936,78%,Strategy
10937,76%,Strategy
10939,63%,Strategy
10944,75%,Strategy
10948,70%,Strategy
10949,76%,Strategy
10969,69%,Strategy
10983,78%,Strategy
10991,47%,Strategy
10995,94%,Strategy
11011,91%,Strategy
11012,55%,Strategy
11014,91%,Strategy
11021,89%,Strategy
11022,84%,Strategy
11023,76%,Strategy
11024,81%,Strategy
11032,75%,Strategy
11039,90%,Strategy
11052,66%,Strategy
11056,38%,Strategy
11066,37%,Strategy
11072,81%,Strategy
11076,72%,Strategy
11084,96%,Strategy
11090,30%,Strategy
11093,93%,Strategy
11096,100%,Strategy
11099,53%,Strategy
11102,41%,Strategy
11103,70%,Strategy
11104,66%,Strategy
11107,88%,Strategy
11124,90%,Strategy
11133,33%,Strategy
11134,78%,Strategy
11138,41%,Strategy
11144,78%,Strategy
11145,62%,Strategy
11158,89%,Strategy
11160,92%,Strategy
11171,70%,Strategy
11186,84%,Strategy
11187,64%,Strategy
11188,68%,Strategy
11202,86%,Strategy
11207,70%,Strategy
11214,56%,Strategy
11218,93%,Strategy
11223,68%,Strategy
11226,28%,Strategy
11234,46%,Strategy
11241,74%,Strategy
11244,66%,Strategy
11246,37%,Strategy
11250,97%,Strategy
11264,79%,Strategy
11276,44%,Strategy
11278,42%,Strategy
11283,60%,Strategy
11286,82%,Strategy
11287,61%,Strategy
11299,95%,Strategy
11300,51%,Strategy
11320,50%,Strategy
11327,67%,Strategy
11349,72%,Strategy
11350,84%,Strategy
11351,84%,Strategy
11367,29%,Strategy
11372,50%,Strategy
11374,100%,Strategy
11382,38%,Strategy
11389,78%,Strategy
11391,75%,Strategy
11392,89%,Strategy
11408,60%,Strategy
11416,68%,Strategy
11418,74%,Strategy
11423,66%,Strategy
11429,78%,Strategy
11430,48%,Strategy
11431,52%,Strategy
11440,52%,Strategy
11443,64%,Strategy
11445,90%,Strategy
11447,90%,Strategy
11455,100%,Strategy
11480,53%,Strategy
11488,71%,Strategy
11491,93%,Strategy
11492,81%,Strategy
11493,81%,Strategy
11496,56%,Strategy
11515,50%,Strategy
11519,89%,Strategy
11520,82%,Strategy
11526,75%,Strategy
11527,66%,Strategy
11529,72%,Strategy
11540,88%,Strategy
11543,67%,Strategy
11544,58%,Strategy
11545,71%,Strategy
11546,66%,Strategy
11552,38%,Strategy
11583,77%,Strategy
11592,91%,Strategy
11608,63%,Strategy
11615,72%,Strategy
11616,77%,Strategy
11630,73%,Strategy
11634,70%,Strategy
11647,65%,Strategy
11649,94%,Strategy
11660,50%,Strategy
11662,67%,Strategy
11667,61%,Strategy
11672,78%,Strategy
11681,69%,Strategy
11682,33%,Strategy
11687,87%,Strategy
11697,73%,Strategy
11699,90%,Strategy
11705,69%,Strategy
11713,79%,Strategy
11717,58%,Strategy
11718,67%,Strategy
11721,76%,Strategy
11723,69%,Strategy
11724,83%,Strategy
11727,61%,Strategy
11734,35%,Strategy
11738,76%,Strategy
11742,81%,Strategy
11745,70%,Strategy
11749,59%,Strategy
11750,95%,Strategy
11762,40%,Strategy
11766,88%,Strategy
11783,92%,Strategy
11784,73%,Strategy
11798,100%,Strategy
11801,68%,Strategy
11820,80%,Strategy
11825,75%,Strategy
11850,82%,Strategy
11851,60%,Strategy
11852,81%,Strategy
11855,68%,Strategy
11857,69%,Strategy
11862,81%,Strategy
11867,91%,Strategy
11868,56%,Strategy
11869,90%,Strategy
11874,91%,Strategy
11875,79%,Strategy
11884,50%,Strategy
11887,50%,Strategy
11897,6%,Strategy
11899,81%,Strategy
11900,77%,Strategy
11911,70%,Strategy
11914,54%,Strategy
11916,86%,Strategy
11921,56%,Strategy
11931,62%,Strategy
11937,50%,Strategy
11941,81%,Strategy
11942,74%,Strategy
11945,25%,Strategy
11946,51%,Strategy
11947,81%,Strategy
11951,60%,Strategy
11955,49%,Strategy
11968,90%,Strategy
11971,72%,Strategy
11975,95%,Strategy
11976,51%,Strategy
11985,17%,Strategy
11988,69%,Strategy
12022,81%,Strategy
12024,70%,Strategy
12035,90%,Strategy
12050,74%,Strategy
12055,60%,Strategy
12057,65%,Strategy
12060,76%,Strategy
12062,62%,Strategy
12066,76%,Strategy
12076,85%,Strategy
12081,76%,Strategy
12082,50%,Strategy
12084,57%,Strategy
12090,57%,Strategy
12107,27%,Strategy
12108,90%,Strategy
12111,43%,Strategy
12119,52%,Strategy
12120,80%,Strategy
12121,100%,Strategy
12133,84%,Strategy
12137,71%,Strategy
12138,30%,Strategy
12142,45%,Strategy
12143,65%,Strategy
12151,29%,Strategy
12163,79%,Strategy
12176,94%,Strategy
12180,50%,Strategy
12186,89%,Strategy
12193,82%,Strategy
12198,40%,Strategy
12201,60%,Strategy
12202,41%,Strategy
12212,70%,Strategy
12213,90%,Strategy
12222,100%,Strategy
12226,54%,Strategy
12228,77%,Strategy
12231,66%,Strategy
12237,80%,Strategy
12238,96%,Strategy
12251,89%,Strategy
12253,77%,Strategy
12254,47%,Strategy
12255,69%,Strategy
12261,93%,Strategy
12265,68%,Strategy
12267,56%,Strategy
12275,92%,Strategy
12276,17%,Strategy
12287,50%,Strategy
12288,69%,Strategy
12291,72%,Strategy
12295,94%,Strategy
12297,60%,Strategy
12308,75%,Strategy
12309,89%,Strategy
12319,84%,Strategy
12320,84%,Strategy
12321,83%,Strategy
12333,77%,Strategy
12334,41%,Strategy
12340,89%,Strategy
12344,100%,Strategy
12361,81%,Strategy
12364,83%,Strategy
12377,38%,Strategy
12379,25%,Strategy
12380,43%,Strategy
12381,75%,Strategy
12383,71%,Strategy
12384,56%,Strategy
12391,84%,Strategy
12408,63%,Strategy
12412,30%,Strategy
12414,92%,Strategy
12416,66%,Strategy
12417,88%,Strategy
12419,81%,Strategy
12421,84%,Strategy
12422,66%,Strategy
12423,92%,Strategy
12424,50%,Strategy
12426,84%,Strategy
12430,25%,Strategy
12432,72%,Strategy
12452,42%,Strategy
12458,79%,Strategy
12462,87%,Strategy
12481,55%,Strategy
12491,73%,Strategy
12493,27%,Strategy
12502,94%,Strategy
12513,70%,Strategy
12515,57%,Strategy
12520,81%,Strategy
12525,34%,Strategy
12528,71%,Strategy
12529,70%,Strategy
12543,67%,Strategy
12552,85%,Strategy
12556,77%,Strategy
12562,62%,Strategy
12564,66%,Strategy
12565,70%,Strategy
12575,44%,Strategy
12576,76%,Strategy
12577,83%,Strategy
12580,69%,Strategy
12588,72%,Strategy
12589,83%,Strategy
12595,26%,Strategy
12597,85%,Strategy
12603,72%,Strategy
12604,90%,Strategy
12607,45%,Strategy
12608,74%,Strategy
12614,67%,Strategy
12624,71%,Strategy
12625,91%,Strategy
12626,91%,Strategy
12628,88%,Strategy
12669,56%,Strategy
12671,72%,Strategy
12680,43%,Strategy
12687,63%,Strategy
12689,89%,Strategy
12691,35%,Strategy
12697,65%,Strategy
12733,61%,Strategy
12734,89%,Strategy
12744,91%,Strategy
12745,68%,Strategy
12746,86%,Strategy
12747,74%,Strategy
12750,33%,Strategy
12751,100%,Strategy
12757,67%,Strategy
12758,72%,Strategy
12764,22%,Strategy
12766,54%,Strategy
12768,50%,Strategy
12777,86%,Strategy
12778,54%,Strategy
12781,60%,Strategy
12783,41%,Strategy
12796,50%,Strategy
12799,85%,Strategy
12802,87%,Strategy
12810,76%,Strategy
12816,60%,Strategy
12817,76%,Strategy
12826,90%,Strategy
12835,57%,Strategy
12837,86%,Strategy
12842,83%,Strategy
12846,70%,Strategy
12849,85%,Strategy
12850,96%,Strategy
12853,95%,Strategy
12855,58%,Strategy
12857,56%,Strategy
12858,75%,Strategy
12860,40%,Strategy
12861,79%,Strategy
12864,68%,Strategy
12870,79%,Strategy
12874,90%,Strategy
12876,65%,Strategy
12879,54%,Strategy
12882,100%,Strategy
12890,69%,Strategy
12892,64%,Strategy
12895,46%,Strategy
12896,93%,Strategy
12920,57%,Strategy
12922,81%,Strategy
12930,60%,Strategy
12932,41%,Strategy
12939,54%,Strategy
12940,100%,Strategy
12942,64%,Strategy
12948,95%,Strategy
12949,93%,Strategy
12950,77%,Strategy
12953,73%,Strategy
12967,47%,Strategy
12968,97%,Strategy
12971,40%,Strategy
12976,73%,Strategy
12982,83%,Strategy
12987,54%,Strategy
12989,21%,Strategy
12993,91%,Strategy
12997,40%,Strategy
12998,78%,Strategy
12999,94%,Strategy
13002,78%,Strategy
13020,27%,Strategy
13029,69%,Strategy
13031,63%,Strategy
13032,93%,Strategy
13036,80%,Strategy
13045,80%,Strategy
13051,90%,Strategy
13053,94%,Strategy
13054,95%,Strategy
13072,89%,Strategy
13073,72%,Strategy
13075,51%,Strategy
13085,62%,Strategy
13091,86%,Strategy
13098,79%,Strategy
13104,51%,Strategy
13106,96%,Strategy
13113,83%,Strategy
13129,66%,Strategy
13147,62%,Strategy
13162,66%,Strategy
13176,57%,Strategy
13177,90%,Strategy
13178,83%,Strategy
13180,96%,Strategy
13181,50%,Strategy
13198,10%,Strategy
13205,39%,Strategy
13206,79%,Strategy
13207,83%,Strategy
13208,71%,Strategy
13209,84%,Strategy
13211,46%,Strategy
13216,90%,Strategy
13218,3%,Strategy
13223,51%,Strategy
13225,66%,Strategy
13231,77%,Strategy
13234,89%,Strategy
13248,91%,Strategy
13251,96%,Strategy
13252,40%,Strategy
13254,95%,Strategy
13257,100%,Strategy
13262,96%,Strategy
13263,63%,Strategy
13271,75%,Strategy
13274,82%,Strategy
13275,82%,Strategy
13282,42%,Strategy
13283,61%,Strategy
13284,56%,Strategy
13290,82%,Strategy
13293,83%,Strategy
13294,61%,Strategy
13312,83%,Strategy
13316,87%,Strategy
13318,78%,Strategy
13320,85%,Strategy
13323,55%,Strategy
13348,75%,Strategy
13359,88%,Strategy
13364,86%,Strategy
13370,92%,Strategy
13380,81%,Strategy
13389,72%,Strategy
13390,84%,Strategy
13392,100%,Strategy
13397,57%,Strategy
13399,64%,Strategy
13402,94%,Strategy
13405,38%,Strategy
13420,69%,Strategy
13425,39%,Strategy
13434,70%,Strategy
13436,70%,Strategy
13438,22%,Strategy
13446,58%,Strategy
13455,93%,Strategy
13456,61%,Strategy
13462,75%,Strategy
13465,19%,Strategy
13467,92%,Strategy
13471,67%,Strategy
13474,44%,Strategy
13478,95%,Strategy
13479,75%,Strategy
13482,90%,Strategy
13489,86%,Strategy
13490,52%,Strategy
13493,89%,Strategy
13502,69%,Strategy
13505,91%,Strategy
13506,59%,Strategy
13509,88%,Strategy
13510,93%,Strategy
13517,63%,Strategy
13527,69%,Strategy
13530,94%,Strategy
13533,87%,Strategy
13535,71%,Strategy
13536,72%,Strategy
13541,42%,Strategy
13549,75%,Strategy
13550,86%,Strategy
13555,86%,Strategy
13557,60%,Strategy
13563,65%,Strategy
13565,81%,Strategy
13567,83%,Strategy
13571,92%,Strategy
13573,60%,Strategy
13574,76%,Strategy
13575,91%,Strategy
13584,74%,Strategy
13585,85%,Strategy
13599,94%,Strategy
13600,91%,Strategy
13601,50%,Strategy
13606,74%,Strategy
13610,94%,Strategy
13615,35%,Strategy
13617,54%,Strategy
13624,31%,Strategy
13628,63%,Strategy
13629,84%,Strategy
13630,93%,Strategy
13631,45%,Strategy
13642,85%,Strategy
13643,72%,Strategy
13650,91%,Strategy
13655,80%,Strategy
13658,55%,Strategy
13665,45%,Strategy
13674,70%,Strategy
13675,51%,Strategy
13692,76%,Strategy
13718,31%,Strategy
13720,88%,Strategy
13725,44%,Strategy
13733,7%,Strategy
13742,81%,Strategy
13748,64%,Strategy
13753,60%,Strategy
13767,80%,Strategy
13769,39%,Strategy
13774,86%,Strategy
13776,56%,Strategy
13778,37%,Strategy
13783,61%,Strategy
13787,54%,Strategy
13793,60%,Strategy
13800,86%,Strategy
13811,73%,Strategy
13812,42%,Strategy
13816,76%,Strategy
13817,75%,Strategy
13819,91%,Strategy
13823,90%,Strategy
13824,91%,Strategy
13825,60%,Strategy
13827,92%,Strategy
13831,76%,Strategy
13834,79%,Strategy
13839,86%,Strategy
13840,82%,Strategy
13842,72%,Strategy
13843,90%,Strategy
13848,64%,Strategy
13849,59%,Strategy
13850,13%,Strategy
13856,80%,Strategy
13861,77%,Strategy
13868,68%,Strategy
13876,95%,Strategy
13877,87%,Strategy
13880,90%,Strategy
13886,47%,Strategy
13889,60%,Strategy
13893,81%,Strategy
13894,65%,Strategy
13895,69%,Strategy
13896,70%,Strategy
13901,75%,Strategy
13902,65%,Strategy
13903,83%,Strategy
13904,73%,Strategy
13912,91%,Strategy
13916,56%,Strategy
13919,50%,Strategy
13930,73%,Strategy
13935,81%,Strategy
13936,73%,Strategy
13941,65%,Strategy
13947,100%,Strategy
13951,72%,Strategy
13955,100%,Strategy
13971,95%,Strategy
13976,60%,Strategy
13977,78%,Strategy
13978,51%,Strategy
13987,56%,Strategy
13988,42%,Strategy
13992,79%,Strategy
13994,90%,Strategy
13999,35%,Strategy
14000,85%,Strategy
14001,58%,Strategy
14004,54%,Strategy
14007,50%,Strategy
14018,76%,Strategy
14019,81%,Strategy
14022,50%,Strategy
14025,92%,Strategy
14033,86%,Strategy
14049,76%,Strategy
14062,85%,Strategy
14069,83%,Strategy
14077,67%,Strategy
14078,61%,Strategy
14079,77%,Strategy
14081,92%,Strategy
14084,88%,Strategy
14090,92%,Strategy
14091,89%,Strategy
14097,61%,Strategy
14101,72%,Strategy
14110,86%,Strategy
14116,54%,Strategy
14123,52%,Strategy
14124,90%,Strategy
14133,66%,Strategy
14134,68%,Strategy
14136,29%,Strategy
14137,94%,Strategy
14142,69%,Strategy
14144,95%,Strategy
14146,77%,Strategy
14152,81%,Strategy
14164,64%,Strategy
14170,74%,Strategy
14171,96%,Strategy
14181,89%,Strategy
14184,51%,Strategy
14186,73%,Strategy
14188,72%,Strategy
14192,39%,Strategy
14196,72%,Strategy
14199,38%,Strategy
14206,97%,Strategy
14208,50%,Strategy
14212,75%,Strategy
14215,77%,Strategy
14220,61%,Strategy
14224,76%,Strategy
14231,60%,Strategy
14237,80%,Strategy
14238,59%,Strategy
14240,84%,Strategy
14241,78%,Strategy
14244,40%,Strategy
14250,86%,Strategy
14252,88%,Strategy
14255,79%,Strategy
14260,79%,Strategy
14262,100%,Strategy
14278,93%,Strategy
14281,77%,Strategy
14284,92%,Strategy
14292,69%,Strategy
14302,83%,Strategy
14303,97%,Strategy
14312,60%,Strategy
14328,62%,Strategy
14329,44%,Strategy
14333,91%,Strategy
14338,84%,Strategy
14345,48%,Strategy
14353,72%,Strategy
14354,59%,Strategy
14355,45%,Strategy
14357,80%,Strategy
14363,46%,Strategy
14374,90%,Strategy
14378,44%,Strategy
14387,86%,Strategy
14390,76%,Strategy
14394,66%,Strategy
14395,74%,Strategy
14396,81%,Strategy
14399,77%,Strategy
14402,71%,Strategy
14405,44%,Strategy
14406,46%,Strategy
14410,91%,Strategy
14411,70%,Strategy
14413,60%,Strategy
14416,75%,Strategy
14418,49%,Strategy
14419,92%,Strategy
14420,86%,Strategy
14421,71%,Strategy
14424,76%,Strategy
14425,91%,Strategy
14431,68%,Strategy
14432,72%,Strategy
14433,60%,Strategy
14438,88%,Strategy
