,all_ratio,genre
1415,76%,Indie
1416,54%,Indie
1417,96%,Indie
1424,94%,Indie
1425,62%,Indie
1427,92%,Indie
1430,67%,Indie
1431,86%,Indie
1435,93%,Indie
1436,97%,Indie
1437,95%,Indie
1441,76%,Indie
1448,72%,Indie
1449,87%,Indie
1454,31%,Indie
1455,79%,Indie
1458,96%,Indie
1460,61%,Indie
1471,81%,Indie
1472,81%,Indie
1474,82%,Indie
1475,68%,Indie
1478,77%,Indie
1480,70%,Indie
1495,67%,Indie
1496,81%,Indie
1504,87%,Indie
1505,83%,Indie
1507,96%,Indie
1510,81%,Indie
1511,85%,Indie
1515,93%,Indie
1518,82%,Indie
1522,83%,Indie
1524,86%,Indie
1525,89%,Indie
1526,89%,Indie
1532,70%,Indie
1537,33%,Indie
1543,70%,Indie
1550,74%,Indie
1555,87%,Indie
1559,59%,Indie
1565,96%,Indie
1566,97%,Indie
1569,88%,Indie
1573,92%,Indie
1576,55%,Indie
1579,66%,Indie
1583,69%,Indie
1584,100%,Indie
1587,93%,Indie
1590,63%,Indie
1592,51%,Indie
1593,52%,Indie
1594,83%,Indie
1599,78%,Indie
1600,73%,Indie
1612,70%,Indie
1613,72%,Indie
1621,92%,Indie
1624,76%,Indie
1626,81%,Indie
1639,25%,Indie
1640,86%,Indie
1641,84%,Indie
1642,69%,Indie
1643,75%,Indie
1644,79%,Indie
1647,91%,Indie
1648,58%,Indie
1649,78%,Indie
1652,49%,Indie
1654,87%,Indie
1658,48%,Indie
1660,74%,Indie
1666,84%,Indie
1668,81%,Indie
1670,94%,Indie
1671,82%,Indie
1673,75%,Indie
1675,94%,Indie
1676,57%,Indie
1680,83%,Indie
1683,88%,Indie
1685,86%,Indie
1687,93%,Indie
1688,68%,Indie
1693,43%,Indie
1701,25%,Indie
1703,96%,Indie
1706,40%,Indie
1707,81%,Indie
1709,78%,Indie
1711,85%,Indie
1712,91%,Indie
1713,100%,Indie
1718,57%,Indie
1720,56%,Indie
1721,39%,Indie
1724,100%,Indie
1730,81%,Indie
1733,90%,Indie
1734,51%,Indie
1736,27%,Indie
1738,100%,Indie
1743,90%,Indie
1744,78%,Indie
1746,86%,Indie
1748,91%,Indie
1754,90%,Indie
1756,64%,Indie
1763,71%,Indie
1764,87%,Indie
1766,68%,Indie
1771,83%,Indie
1773,80%,Indie
1774,88%,Indie
1776,83%,Indie
1777,73%,Indie
1778,85%,Indie
1779,53%,Indie
1788,69%,Indie
1790,38%,Indie
1794,16%,Indie
1796,89%,Indie
1799,90%,Indie
1803,64%,Indie
1805,86%,Indie
1807,86%,Indie
1813,84%,Indie
1814,46%,Indie
1815,100%,Indie
1816,81%,Indie
1819,68%,Indie
1825,96%,Indie
1826,37%,Indie
1828,76%,Indie
1830,95%,Indie
1835,48%,Indie
1836,75%,Indie
1840,82%,Indie
1845,69%,Indie
1846,40%,Indie
1847,76%,Indie
1849,66%,Indie
1853,91%,Indie
1854,80%,Indie
1855,60%,Indie
1865,79%,Indie
1870,85%,Indie
1873,82%,Indie
1879,92%,Indie
1881,95%,Indie
1882,62%,Indie
1886,85%,Indie
1887,75%,Indie
1896,80%,Indie
1897,90%,Indie
1898,89%,Indie
1899,82%,Indie
1906,52%,Indie
1910,38%,Indie
1928,100%,Indie
1932,93%,Indie
1935,87%,Indie
1938,58%,Indie
1942,76%,Indie
1945,73%,Indie
1948,83%,Indie
1953,88%,Indie
1966,100%,Indie
1973,80%,Indie
1978,71%,Indie
1983,61%,Indie
1986,28%,Indie
1988,93%,Indie
1989,79%,Indie
1990,94%,Indie
1991,92%,Indie
1995,64%,Indie
1997,29%,Indie
1998,64%,Indie
1999,89%,Indie
2000,86%,Indie
2004,80%,Indie
2005,80%,Indie
2009,72%,Indie
2014,76%,Indie
2015,70%,Indie
2017,89%,Indie
2019,59%,Indie
2020,55%,Indie
2023,86%,Indie
2030,83%,Indie
2032,84%,Indie
2046,93%,Indie
2053,91%,Indie
2065,68%,Indie
2071,60%,Indie
2072,40%,Indie
2073,55%,Indie
2074,56%,Indie
2080,84%,Indie
2089,92%,Indie
2093,96%,Indie
2094,63%,Indie
2095,60%,Indie
2098,81%,Indie
2100,78%,Indie
2103,90%,Indie
2104,31%,Indie
2106,76%,Indie
2111,65%,Indie
2114,51%,Indie
2115,85%,Indie
2116,11%,Indie
2119,100%,Indie
2120,86%,Indie
2127,68%,Indie
2130,56%,Indie
2131,42%,Indie
2134,100%,Indie
2135,95%,Indie
2137,95%,Indie
2143,80%,Indie
2146,100%,Indie
2148,94%,Indie
2151,79%,Indie
2153,92%,Indie
2154,77%,Indie
2159,88%,Indie
2164,54%,Indie
2165,91%,Indie
2166,83%,Indie
2167,96%,Indie
2170,83%,Indie
2173,75%,Indie
2174,84%,Indie
2175,54%,Indie
2177,90%,Indie
2184,89%,Indie
2185,92%,Indie
2187,92%,Indie
2196,91%,Indie
2200,30%,Indie
2201,100%,Indie
2204,80%,Indie
2206,88%,Indie
2208,70%,Indie
2210,80%,Indie
2211,92%,Indie
2216,95%,Indie
2218,69%,Indie
2219,89%,Indie
2224,66%,Indie
2225,85%,Indie
2227,72%,Indie
2228,50%,Indie
2248,93%,Indie
2256,88%,Indie
2257,100%,Indie
2260,84%,Indie
2264,77%,Indie
2267,90%,Indie
2270,78%,Indie
2271,37%,Indie
2275,53%,Indie
2276,87%,Indie
2277,95%,Indie
2283,84%,Indie
2286,78%,Indie
2289,97%,Indie
2291,71%,Indie
2299,78%,Indie
2302,94%,Indie
2306,76%,Indie
2308,66%,Indie
2321,33%,Indie
2324,70%,Indie
2325,84%,Indie
2327,100%,Indie
2328,81%,Indie
2345,78%,Indie
2355,82%,Indie
2358,73%,Indie
2362,77%,Indie
2363,59%,Indie
2366,63%,Indie
2369,73%,Indie
2373,72%,Indie
2374,93%,Indie
2383,94%,Indie
2385,100%,Indie
2387,48%,Indie
2390,100%,Indie
2395,82%,Indie
2403,94%,Indie
2407,85%,Indie
2409,30%,Indie
2411,66%,Indie
2413,100%,Indie
2415,58%,Indie
2427,68%,Indie
2428,90%,Indie
2430,88%,Indie
2431,51%,Indie
2433,88%,Indie
2436,74%,Indie
2443,63%,Indie
2446,85%,Indie
2449,54%,Indie
2450,30%,Indie
2454,41%,Indie
2455,90%,Indie
2461,91%,Indie
2462,33%,Indie
2465,69%,Indie
2466,68%,Indie
2467,82%,Indie
2468,60%,Indie
2470,81%,Indie
2472,85%,Indie
2477,71%,Indie
2478,38%,Indie
2484,100%,Indie
2487,73%,Indie
2489,73%,Indie
2491,91%,Indie
2493,100%,Indie
2494,72%,Indie
2498,67%,Indie
2500,100%,Indie
2501,78%,Indie
2505,50%,Indie
2507,52%,Indie
2512,96%,Indie
2517,36%,Indie
2519,68%,Indie
2526,54%,Indie
2528,79%,Indie
2530,53%,Indie
2541,61%,Indie
2546,83%,Indie
2555,85%,Indie
2558,73%,Indie
2561,71%,Indie
2564,54%,Indie
2566,84%,Indie
2567,56%,Indie
2575,95%,Indie
2576,81%,Indie
2579,89%,Indie
2583,80%,Indie
2584,66%,Indie
2600,69%,Indie
2601,83%,Indie
2606,30%,Indie
2609,90%,Indie
2612,91%,Indie
2616,71%,Indie
2617,58%,Indie
2621,85%,Indie
2628,95%,Indie
2629,89%,Indie
2630,72%,Indie
2631,57%,Indie
2634,69%,Indie
2638,81%,Indie
2642,88%,Indie
2643,73%,Indie
2645,100%,Indie
2648,33%,Indie
2659,86%,Indie
2663,39%,Indie
2664,94%,Indie
2674,90%,Indie
2683,86%,Indie
2695,60%,Indie
2696,80%,Indie
2700,84%,Indie
2701,68%,Indie
2702,66%,Indie
2704,85%,Indie
2705,78%,Indie
2710,92%,Indie
2711,69%,Indie
2712,59%,Indie
2726,78%,Indie
2729,90%,Indie
2730,89%,Indie
2731,80%,Indie
2733,100%,Indie
2734,83%,Indie
2742,88%,Indie
2748,84%,Indie
2749,84%,Indie
2751,81%,Indie
2753,89%,Indie
2754,84%,Indie
2755,62%,Indie
2760,83%,Indie
2763,89%,Indie
2764,60%,Indie
2765,50%,Indie
2766,54%,Indie
2767,93%,Indie
2768,86%,Indie
2771,60%,Indie
2774,90%,Indie
2778,30%,Indie
2782,83%,Indie
2784,83%,Indie
2792,60%,Indie
2799,70%,Indie
2800,96%,Indie
2808,90%,Indie
2810,69%,Indie
2813,66%,Indie
2825,67%,Indie
2826,92%,Indie
2829,80%,Indie
2832,100%,Indie
2833,75%,Indie
2839,75%,Indie
2841,71%,Indie
2842,96%,Indie
2847,87%,Indie
2849,29%,Indie
2850,63%,Indie
2854,83%,Indie
2856,88%,Indie
2858,100%,Indie
2865,41%,Indie
2866,59%,Indie
2869,74%,Indie
2870,40%,Indie
2872,90%,Indie
2876,60%,Indie
2878,81%,Indie
2881,66%,Indie
2884,78%,Indie
2887,82%,Indie
2890,87%,Indie
2892,81%,Indie
2901,94%,Indie
2904,88%,Indie
2905,70%,Indie
2911,96%,Indie
2912,82%,Indie
2914,22%,Indie
2916,96%,Indie
2918,17%,Indie
2925,95%,Indie
2926,90%,Indie
2932,80%,Indie
2937,76%,Indie
2939,56%,Indie
2941,100%,Indie
2946,94%,Indie
2953,94%,Indie
2962,89%,Indie
2972,81%,Indie
2974,97%,Indie
2984,72%,Indie
2985,20%,Indie
2988,89%,Indie
2989,55%,Indie
2990,57%,Indie
3004,83%,Indie
3014,75%,Indie
3016,86%,Indie
3018,66%,Indie
3019,40%,Indie
3020,84%,Indie
3021,38%,Indie
3027,91%,Indie
3029,90%,Indie
3035,36%,Indie
3036,88%,Indie
3037,23%,Indie
3038,85%,Indie
3039,88%,Indie
3040,50%,Indie
3042,93%,Indie
3044,85%,Indie
3049,80%,Indie
3055,61%,Indie
3056,91%,Indie
3059,100%,Indie
3068,82%,Indie
3070,72%,Indie
3074,90%,Indie
3079,65%,Indie
3085,100%,Indie
3089,77%,Indie
3090,75%,Indie
3095,46%,Indie
3097,84%,Indie
3098,62%,Indie
3099,64%,Indie
3105,92%,Indie
3112,66%,Indie
3113,54%,Indie
3117,80%,Indie
3119,82%,Indie
3126,74%,Indie
3132,95%,Indie
3137,53%,Indie
3138,64%,Indie
3144,30%,Indie
3149,85%,Indie
3150,67%,Indie
3157,92%,Indie
3163,69%,Indie
3172,88%,Indie
3173,95%,Indie
3176,52%,Indie
3178,96%,Indie
3179,97%,Indie
3199,90%,Indie
3203,80%,Indie
3206,58%,Indie
3212,86%,Indie
3220,33%,Indie
3224,19%,Indie
3230,97%,Indie
3232,45%,Indie
3234,75%,Indie
3241,90%,Indie
3242,77%,Indie
3245,73%,Indie
3246,66%,Indie
3249,16%,Indie
3250,72%,Indie
3255,67%,Indie
3256,100%,Indie
3265,40%,Indie
3273,58%,Indie
3274,72%,Indie
3276,42%,Indie
3277,99%,Indie
3278,88%,Indie
3280,80%,Indie
3281,93%,Indie
3283,69%,Indie
3290,90%,Indie
3292,83%,Indie
3298,80%,Indie
3299,94%,Indie
3300,100%,Indie
3303,64%,Indie
3307,89%,Indie
3309,90%,Indie
3310,76%,Indie
3312,75%,Indie
3318,41%,Indie
3320,57%,Indie
