,title,all_ratio,genres,specs,platform,developer,positive_review,positive_review_rank
36758,Receiver,"86% of the 1,840 user reviews for this game are positive.","['Action', 'Indie', 'Simulation']",['Single-player'],"Linux,Mac,Windows,","Wolfire GamesPublisher:Wolfire GamesRelease Date: Apr 29, 2013",696.0,219
17779,Zero-K,90% of the 773 user reviews for this game are positive.,"['Free to Play', 'Indie', 'Simulation', 'Strategy']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Cloud']","Windows,","Zero-K TeamPublisher:Zero-K TeamRelease Date: Apr 27, 2018",696.0,219
14354,Donut County,82% of the 847 user reviews for this game are positive.,"['Adventure', 'Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","Mac,Windows,","Ben EspositoPublisher:Annapurna InteractiveRelease Date: Aug 28, 2018",695.0,221
37217,Ticket to Ride,85% of the 817 user reviews for this game are positive.,"['Casual', 'Indie', 'Strategy']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Turn Notifications']","Linux,Mac,Windows,","Days of WonderPublisher:Days of Wonder, Asmodee DigitalRelease Date: May 24, 2012",694.0,222
33881,RONIN,73% of the 951 user reviews for this game are positive.,"['Action', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support']","Linux,Mac,Windows,","Tomasz WacławekPublisher:Devolver DigitalRelease Date: Jun 30, 2015",694.0,222
35466,Beyond Gravity,88% of the 788 user reviews for this game are positive.,"['Action', 'Casual']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']","Linux,Mac,Windows,","Qwiboo LtdPublisher:Qwiboo LtdRelease Date: Sep 23, 2014",693.0,224
20432,Iconoclasts,88% of the 787 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Joakim SandbergPublisher:Bifrost Entertainment, DANGEN Entertainment, Gamera Game, INTRAGAMES CO., LTD.Release Date: Jan 23, 2018",693.0,224
10609,Holyday City: Reloaded,82% of the 842 user reviews for this game are positive.,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']","Mac,Windows,","Holyday StudiosPublisher:Holyday StudiosRelease Date: Dec 14, 2017",690.0,226
38752,TrackMania Nations Forever,"87% of the 8,956 user reviews for this game are positive.",['Racing'],"['Single-player', 'Multi-player', 'Includes level editor']","Windows,","NadeoPublisher:UbisoftRelease Date: Apr 16, 2008",690.0,226
38656,Tom Clancy's Rainbow Six® 3 Gold,92% of the 749 user reviews for this game are positive.,['Action'],['Single-player'],"Windows,","Red Storm Entertainment, Ubisoft MontrealPublisher:UbisoftRelease Date: Mar 18, 2003",689.0,228
28735,EmergeNYC,69% of the 999 user reviews for this game are positive.,"['Action', 'Casual', 'Indie', 'Racing', 'RPG', 'Simulation', 'Strategy', 'Early Access']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Full controller support']","Mac,Windows,","FlipSwitch GamesPublisher:FlipSwitch GamesRelease Date: Nov 3, 2016",689.0,228
36547,Journey of a Roach,88% of the 783 user reviews for this game are positive.,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Koboldgames, Daedalic EntertainmentPublisher:Daedalic EntertainmentRelease Date: Nov 4, 2013",689.0,228
19392,"Guns, Gore and Cannoli 2",93% of the 739 user reviews for this game are positive.,"['Action', 'Adventure']","['Single-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Stats']","Mac,Windows,","Crazy Monkey Studios, ClaeysbrothersPublisher:Crazy Monkey StudiosRelease Date: Mar 2, 2018",687.0,231
32793,Mushihimesama,97% of the 708 user reviews for this game are positive.,['Action'],"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Windows,","CAVE Interactive CO.,LTD.Publisher:DegicaRelease Date: Nov 12, 2015",687.0,231
1333,Bus Driver,72% of the 953 user reviews for this game are positive.,"['Indie', 'Simulation']","['Single-player', 'Partial Controller Support']","Windows,","SCS SoftwarePublisher:SCS SoftwareRelease Date: Mar 22, 2007",686.0,233
8028,Divinity: Original Sin 2 - Definitive Edition,"93% of the 30,758 user reviews for this game are positive.","['Adventure', 'RPG', 'Strategy']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']","Windows,","Larian StudiosPublisher:Larian StudiosRelease Date: Sep 14, 2017",686.0,233
113,Oddworld: Abe's Exoddus®,94% of the 729 user reviews for this game are positive.,['Adventure'],['Single-player'],"Windows,","Oddworld InhabitantsPublisher:Oddworld InhabitantsRelease Date: Nov 17, 1998",685.0,235
38875,Peggle Extreme,92% of the 743 user reviews for this game are positive.,['Casual'],['Single-player'],"Windows,","PopCap Games, Inc.Publisher:PopCap Games, Inc.Release Date: Sep 11, 2007",684.0,236
4214,KARAKARA,96% of the 713 user reviews for this game are positive.,"['Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","Windows,","calmePublisher:Sekai ProjectFranchise:KARAKARARelease Date: Jun 27, 2016",684.0,236
21232,Zup! 7,94% of the 726 user reviews for this game are positive.,"['Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","Windows,","Quiet RiverPublisher:Quiet RiverFranchise:Zup!Release Date: Dec 12, 2017",682.0,238
36449,FATE,92% of the 740 user reviews for this game are positive.,"['Action', 'Adventure', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Windows,","WildTangentPublisher:WildTangentRelease Date: May 18, 2005",681.0,239
4283,,93% of the 732 user reviews for this game are positive.,,"['Single-player', 'HTC Vive', 'Oculus Rift', 'Tracked Motion Controllers', 'Room-Scale']","Windows,",,681.0,239
23238,The First Tree,80% of the 850 user reviews for this game are positive.,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","David WehlePublisher:David WehleRelease Date: Sep 14, 2017",680.0,241
1804,Wings of Vi,85% of the 800 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Stats']","Windows,","GrynsoftPublisher:GrynsoftRelease Date: Nov 28, 2014",680.0,241
198,Medal of Honor: Airborne,"78% of the 1,809 user reviews for this game are positive.",['Action'],"['Single-player', 'Multi-player']","Windows,","EA Los AngelesPublisher:Electronic ArtsRelease Date: Sep 4, 2007",679.0,243
17080,Ancestors Legacy,76% of the 889 user reviews for this game are positive.,['Strategy'],"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","Windows,","Destructive CreationsPublisher:1C EntertainmentRelease Date: May 22, 2018",676.0,244
34775,Over 9000 Zombies!,85% of the 795 user reviews for this game are positive.,"['Action', 'Indie']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor']","Windows,","Loren LemckePublisher:Loren LemckeRelease Date: Feb 25, 2015",676.0,244
447,Gemini Rue,89% of the 759 user reviews for this game are positive.,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Windows,","Joshua NeurnbergerPublisher:Wadjet Eye GamesRelease Date: Oct 26, 2011",676.0,244
92,Unreal Gold,94% of the 719 user reviews for this game are positive.,['Action'],"['Single-player', 'Multi-player']","Windows,","Epic Games, Inc.Publisher:Epic Games, Inc.Release Date: Apr 30, 1998",676.0,244
31098,SENRAN KAGURA SHINOVI VERSUS,"94% of the 2,664 user reviews for this game are positive.",['Action'],"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","Windows,","TamsoftPublisher:XSEED Games, Marvelous USA, Inc., MarvelousFranchise:SENRAN KAGURARelease Date: Jun 1, 2016",675.0,248
935,Knock-knock,89% of the 758 user reviews for this game are positive.,['Indie'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']","Linux,Mac,Windows,","Ice-Pick LodgePublisher:Ice-Pick LodgeRelease Date: Oct 4, 2013",675.0,248
24314,Sundered,77% of the 876 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Thunder Lotus GamesPublisher:Thunder Lotus GamesRelease Date: Jul 28, 2017",675.0,248
33811,oO,92% of the 734 user reviews for this game are positive.,"['Action', 'Indie']","['Single-player', 'Steam Achievements']","Linux,Mac,Windows,","Maciej Targoni, Wojciech WasiakPublisher:Maciej TargoniRelease Date: May 20, 2015",675.0,248
26043,Stellaris: Utopia,79% of the 853 user reviews for this game are positive.,"['Simulation', 'Strategy']","['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']","Linux,Mac,Windows,","Paradox Development StudioPublisher:Paradox InteractiveRelease Date: Apr 6, 2017",674.0,252
38614,Prince of Persia®: The Sands of Time,86% of the 784 user reviews for this game are positive.,"['Action', 'Adventure']",['Single-player'],"Windows,","KudosoftPublisher:UbisoftRelease Date: Dec 2, 2003",674.0,252
36684,Teleglitch: Die More Edition,90% of the 748 user reviews for this game are positive.,"['Action', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Test3 ProjectsPublisher:Paradox InteractiveRelease Date: Jul 24, 2013",673.0,254
38657,LEGO Batman,80% of the 841 user reviews for this game are positive.,"['Action', 'Adventure']","['Single-player', 'Shared/Split Screen', 'Full controller support']","Windows,","Traveller's TalesPublisher:Warner Bros. Interactive EntertainmentRelease Date: Sep 29, 2008",673.0,254
30011,Minds Eyes,68% of the 988 user reviews for this game are positive.,"['Action', 'Adventure', 'Free to Play', 'Indie']",['Single-player'],"Windows,","Stanislaw TruchowskiPublisher:TurnVexRelease Date: Aug 31, 2016",672.0,256
1102,LOVE,93% of the 723 user reviews for this game are positive.,"['Action', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Leaderboards', 'Includes level editor']","Windows,","Fred WoodPublisher:Fred WoodRelease Date: Feb 7, 2014",672.0,256
18785,Ash of Gods: Redemption,79% of the 849 user reviews for this game are positive.,"['Adventure', 'Indie', 'RPG', 'Strategy']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']","Linux,Mac,Windows,","AurumDustPublisher:AurumDust, WhisperGamesRelease Date: Mar 23, 2018",671.0,258
33784,The Magic Circle,91% of the 736 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie', 'Simulation', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","Linux,Mac,Windows,","QuestionPublisher:QuestionRelease Date: Jul 9, 2015",670.0,259
37551,nail'd,80% of the 838 user reviews for this game are positive.,['Racing'],"['Single-player', 'Partial Controller Support']","Windows,","TechlandPublisher:Deep SilverRelease Date: Nov 30, 2010",670.0,259
322,Back to the Future: The Game,"89% of the 1,177 user reviews for this game are positive.",['Adventure'],['Single-player'],"Mac,Windows,","Telltale GamesPublisher:Telltale GamesRelease Date: Dec 23, 2010",669.0,261
34759,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,91% of the 735 user reviews for this game are positive.,['Action'],"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']","Windows,","SNK CORPORATION, Code MysticsPublisher:SNK CORPORATIONRelease Date: Feb 27, 2015",669.0,261
3314,LoveBeat,73% of the 916 user reviews for this game are positive.,"['Action', 'Casual', 'Free to Play', 'Massively Multiplayer']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Steam Trading Cards']","Windows,","CRAZYDIAMOND CO., LTD.Publisher:CRAZYDIAMOND CO., LTD.Release Date: Jan 13, 2016",669.0,261
32283,Iron Snout,"98% of the 13,577 user reviews for this game are positive.","['Action', 'Free to Play', 'Indie']","['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']","SteamOS,Linux,Mac,Windows,","SnoutUpPublisher:SnoutUpRelease Date: Jan 27, 2016",668.0,264
37476,LEGO® Star Wars™ III - The Clone Wars™,85% of the 786 user reviews for this game are positive.,"['Action', 'Adventure']","['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Cloud']","Windows,","Traveller's TalesPublisher:LucasArts, Lucasfilm, Disney InteractiveRelease Date: Mar 22, 2011",668.0,264
30613,I am Setsuna,72% of the 928 user reviews for this game are positive.,['RPG'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Windows,","Tokyo RPG FactoryPublisher:Square EnixRelease Date: Jul 19, 2016",668.0,264
29931,Sisyphus Reborn,94% of the 711 user reviews for this game are positive.,['Adventure'],"['Single-player', 'Steam Achievements']","Linux,Windows,","Myshkin EntertainmentPublisher:Myshkin EntertainmentRelease Date: Dec 19, 2014",668.0,264
32042,軒轅劍外傳穹之扉(The Gate of Firmament),75% of the 889 user reviews for this game are positive.,['RPG'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","Windows,","DOMO StudioPublisher:SOFTSTAR EntertainmentRelease Date: Feb 25, 2016",667.0,268
22653,Rocket League® – Fast &amp; Furious™ '99 Nissan Skyline GT-R R34,90% of the 741 user reviews for this game are positive.,"['Action', 'Indie', 'Racing', 'Sports']","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats']","Linux,Mac,Windows,","Psyonix, Inc.Publisher:Psyonix, Inc.Release Date: Oct 9, 2017",667.0,268
35668,Murder Miners,"83% of the 3,080 user reviews for this game are positive.","['Action', 'Indie']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']","Linux,Mac,Windows,","JForce GamesPublisher:JForce GamesRelease Date: Jul 25, 2014",666.0,270
6926,Running Through Russia,68% of the 978 user reviews for this game are positive.,"['Adventure', 'Casual', 'Indie', 'Early Access']","['Single-player', 'Steam Achievements']","Linux,Mac,Windows,","Spell HelixPublisher:Spell HelixRelease Date: May 21, 2017",665.0,271
36280,The Yawhg,80% of the 831 user reviews for this game are positive.,"['Indie', 'RPG']","['Single-player', 'Shared/Split Screen', 'Full controller support', 'Steam Trading Cards']","Windows,","Damian Sommer, Emily CarrollPublisher:Damian SommerRelease Date: May 30, 2013",665.0,271
345,Atom Zombie Smasher,88% of the 754 user reviews for this game are positive.,"['Indie', 'Strategy']","['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Partial Controller Support', 'Stats']","Linux,Mac,Windows,","Blendo GamesPublisher:Blendo GamesRelease Date: Mar 14, 2011",664.0,273
7081,Wonder Boy: The Dragon's Trap,89% of the 746 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","LizardcubePublisher:DotEmuRelease Date: Jun 8, 2017",664.0,273
33052,Knights of Pen and Paper 2,84% of the 790 user reviews for this game are positive.,"['Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']","Linux,Mac,Windows,","Kyy GamesPublisher:Paradox InteractiveRelease Date: Oct 20, 2015",664.0,273
114,Oddworld: Abe's Oddysee®,"91% of the 1,334 user reviews for this game are positive.",['Adventure'],"['Single-player', 'Steam Trading Cards']","Windows,","Oddworld InhabitantsPublisher:Oddworld InhabitantsRelease Date: Dec 12, 1997",663.0,276
36757,La-Mulana,"82% of the 1,320 user reviews for this game are positive.","['Action', 'Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","NIGOROPublisher:AGM PLAYISMRelease Date: Apr 15, 2013",663.0,276
15728,"Warhammer 40,000: Gladius - Relics of War",78% of the 850 user reviews for this game are positive.,['Strategy'],"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Cloud']","Linux,Windows,","Proxy StudiosPublisher:Slitherine Ltd.Release Date: Jul 12, 2018",663.0,276
3315,Wilson Chronicles,72% of the 919 user reviews for this game are positive.,"['Action', 'Free to Play', 'Indie']","['Single-player', 'Full controller support', 'Includes level editor', 'Includes Source SDK']","Windows,","Frere d'ArmePublisher:Frostburn StudiosRelease Date: Jan 14, 2016",662.0,279
2199,Sunrider Academy,85% of the 778 user reviews for this game are positive.,"['Casual', 'Indie', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","Linux,Mac,Windows,","Love in SpacePublisher:Sekai ProjectRelease Date: Apr 15, 2015",661.0,280
30848,Highway Blossoms,95% of the 696 user reviews for this game are positive.,"['Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']","Linux,Mac,Windows,","AlienWorksPublisher:Sekai ProjectRelease Date: Jun 17, 2016",661.0,280
1625,Outland,79% of the 834 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie']","['Single-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Linux,Mac,Windows,","HousemarquePublisher:HousemarqueRelease Date: Sep 29, 2014",659.0,282
31614,The Average Everyday Adventures of Samantha Browne,80% of the 824 user reviews for this game are positive.,"['Casual', 'Free to Play', 'Indie']","['Single-player', 'Steam Achievements']","Linux,Mac,Windows,","Lemonsucker GamesPublisher:Lemonsucker GamesRelease Date: Apr 18, 2016",659.0,282
29635,The Uncertain: Episode 1 - The Last Quiet Day,80% of the 822 user reviews for this game are positive.,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']","Mac,Windows,","ComonGamesPublisher:ComonGamesRelease Date: Sep 22, 2016",658.0,284
31051,Sakura Dungeon,91% of the 723 user reviews for this game are positive.,"['Adventure', 'Indie', 'RPG']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']","Linux,Mac,Windows,","Winged CloudPublisher:Winged CloudRelease Date: Jun 3, 2016",658.0,284
27358,Angels with Scaly Wings,98% of the 669 user reviews for this game are positive.,"['Adventure', 'Indie', 'RPG', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Radical PhiPublisher:Radical PhiRelease Date: Jan 31, 2017",656.0,286
1863,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,82% of the 799 user reviews for this game are positive.,['Action'],"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']","Windows,","SNK CORPORATION, Code MysticsPublisher:SNK CORPORATIONRelease Date: Dec 16, 2014",655.0,287
14317,Ultimate Fishing Simulator,82% of the 799 user reviews for this game are positive.,"['Casual', 'Simulation', 'Sports']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor']","Windows,","Bit Golem, Ultimate Games S.A.Publisher:Ultimate Games S.A., PlayWay S.A.Franchise:FishingRelease Date: Aug 30, 2018",655.0,287
34649,Oceanhorn: Monster of Uncharted Seas,83% of the 787 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Mac,Windows,","Cornfox &amp; Bros.Publisher:Cornfox &amp; Bros.Release Date: Mar 17, 2015",653.0,289
10203,SYNTHETIK: Legion Rising,92% of the 709 user reviews for this game are positive.,"['Action', 'Indie']","['Single-player', 'Online Co-op', 'Partial Controller Support']","Windows,","Flow Fire GamesPublisher:Flow Fire GamesRelease Date: Mar 15, 2018",652.0,290
9787,BombTag,83% of the 784 user reviews for this game are positive.,"['Casual', 'Free to Play', 'Indie']","['Online Multi-Player', 'Partial Controller Support']","Windows,","David SchneiderPublisher:David SchneiderRelease Date: Feb 12, 2018",651.0,291
36517,Age of Empires II HD: The Forgotten,81% of the 802 user reviews for this game are positive.,['Strategy'],"['Single-player', 'Multi-player', 'Downloadable Content', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor']","Windows,","SkyBox Labs, Forgotten EmpiresPublisher:Microsoft StudiosRelease Date: Nov 7, 2013",650.0,292
20740,Sprout,95% of the 683 user reviews for this game are positive.,"['Adventure', 'Casual', 'Free to Play', 'Indie', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Leaderboards']","Mac,Windows,","Jeff Nusz, Mindful MammothPublisher:Mindful MammothRelease Date: Mar 10, 2007",649.0,293
8024,Microtransaction Simulator,88% of the 738 user reviews for this game are positive.,"['Free to Play', 'Simulation']","['Single-player', 'Steam Achievements']","Mac,Windows,","chlseaPublisher:chlseaRelease Date: Sep 14, 2017",649.0,293
3333,The Deadly Tower of Monsters,89% of the 729 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie']","['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Windows,","ACE TeamPublisher:ATLUS USARelease Date: Jan 19, 2016",649.0,293
24316,Car Mechanic Simulator 2018,"74% of the 9,194 user reviews for this game are positive.","['Racing', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Includes level editor']","Mac,Windows,","Red Dot GamesPublisher:PlayWay S.A.Release Date: Jul 28, 2017",648.0,296
36924,Sea Dogs: To Each His Own - Pirate Open World RPG,74% of the 874 user reviews for this game are positive.,['RPG'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Windows,",BlackMark StudioPublisher:AkellaRelease Date: Dec 2012,647.0,297
6959,Planet Nomads,69% of the 934 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie', 'Simulation', 'Early Access']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","Linux,Mac,Windows,","CraneballsPublisher:CraneballsRelease Date: May 25, 2017",644.0,298
29970,CASE: Animatronics,83% of the 776 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Mac,Windows,","Last Level, AlesonPublisher:AlesonFranchise:CASE: AnimatronicsRelease Date: Aug 3, 2016",644.0,298
13415,Visage,90% of the 714 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie', 'Simulation', 'Early Access']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam is learning about this game\xa0']","Windows,","SadSquare StudioPublisher:SadSquare StudioFranchise:VisageRelease Date: Oct 2, 2018",643.0,300
31838,Slain: Back from Hell,70% of the 918 user reviews for this game are positive.,"['Action', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']","Linux,Mac,Windows,","Andrew GilmourPublisher:Digerati DistributionRelease Date: Mar 24, 2016",643.0,300
701,Giana Sisters: Twisted Dreams,84% of the 766 user reviews for this game are positive.,"['Action', 'Indie']","['Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Windows,","Black Forest GamesPublisher:HandyGames, Black Forest GamesFranchise:Giana SistersRelease Date: Oct 22, 2012",643.0,300
3698,,70% of the 918 user reviews for this software are positive.,,"['Steam Workshop', 'HTC Vive', 'Oculus Rift', 'Windows Mixed Reality', 'Tracked Motion Controllers', 'Keyboard / Mouse', 'Seated', 'Standing']","Windows,",,643.0,300
31412,Kathy Rain,93% of the 691 user reviews for this game are positive.,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","Mac,Windows,","Clifftop GamesPublisher:Raw FuryRelease Date: May 5, 2016",643.0,300
38874,RACE 07,86% of the 746 user reviews for this game are positive.,['Racing'],"['Single-player', 'Multi-player']","Windows,","SimBinPublisher:SimBinRelease Date: Oct 15, 2007",642.0,305
349,Post Apocalyptic Mayhem,88% of the 729 user reviews for this game are positive.,"['Action', 'Racing']","['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']","Windows,","Steel MonkeysPublisher:Next Dimension Game Adventures Ltd.Release Date: Mar 17, 2011",642.0,305
37129,Deponia,"89% of the 5,780 user reviews for this game are positive.","['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Daedalic EntertainmentPublisher:Daedalic EntertainmentRelease Date: Aug 6, 2012",642.0,305
36490,Eryi's Action,89% of the 721 user reviews for this game are positive.,"['Action', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","Linux,Windows,","Xtal SwordPublisher:Xtal SwordRelease Date: Nov 19, 2013",642.0,305
34156,Rebuild 3: Gangs of Deadsville,86% of the 746 user reviews for this game are positive.,"['Indie', 'Simulation', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']","Mac,Windows,","Northway Games, Sarah NorthwayPublisher:Northway GamesRelease Date: May 29, 2015",642.0,305
38103,Overlord™,"93% of the 2,481 user reviews for this game are positive.",['RPG'],"['Single-player', 'Partial Controller Support']","Linux,Mac,Windows,","Triumph Studios, Virtual ProgrammingPublisher:CodemastersRelease Date: Jun 26, 2007",641.0,310
31375,Flesh Eaters,75% of the 853 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","Windows,","S.C. 16 BIT NIGHTS S.R.L.Publisher:S.C. 16 BIT NIGHTS S.R.L.Release Date: May 3, 2016",640.0,311
