,title,all_ratio,genres,specs,platform,developer,positive_review,positive_review_rank
19298,Shooty Skies,91% of the 910 user reviews for this game are positive.,"['Action', 'Free to Play', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","SteamOS,Linux,Mac,Windows,","Mighty GamesPublisher:Mighty GamesRelease Date: Mar 6, 2018",828.0,61
1109,STRIDER™ / ストライダー飛竜®,"86% of the 1,346 user reviews for this game are positive.","['Action', 'Adventure']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Windows,","Double Helix Games, CapcomPublisher:CapcomRelease Date: Feb 19, 2014",827.0,62
22597,Grim Dawn - Ashes of Malmouth Expansion,90% of the 915 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Windows,","Crate EntertainmentRelease Date: Oct 11, 2017",824.0,63
6944,Caveblazers,88% of the 934 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie']","['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","Windows,","Deadpan GamesPublisher:The YogscastRelease Date: May 24, 2017",822.0,64
20064,.hack//G.U. Last Recode,87% of the 943 user reviews for this game are positive.,['RPG'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']","Windows,","CyberConnect2Publisher:BANDAI NAMCO EntertainmentRelease Date: Nov 3, 2017",820.0,65
3456,Cube Destroyer,84% of the 974 user reviews for this game are positive.,"['Action', 'Indie']","['Single-player', 'Steam Trading Cards']","Windows,","Freedomize StudioPublisher:Freedomize StudioRelease Date: Feb 15, 2016",818.0,66
6911,Ravenfield,"94% of the 7,546 user reviews for this game are positive.","['Action', 'Indie', 'Early Access']","['Single-player', 'Partial Controller Support']","SteamOS,Linux,Mac,Windows,","SteelRaven7Publisher:SteelRaven7Release Date: May 18, 2017",817.0,67
34440,Westerado: Double Barreled,91% of the 897 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie']","['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Mac,Windows,","Ostrich BanditosPublisher:Adult Swim GamesRelease Date: Apr 16, 2015",816.0,68
3809,IS Defense,94% of the 867 user reviews for this game are positive.,"['Action', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Linux,Windows,","Destructive CreationsPublisher:Destructive CreationsRelease Date: Apr 19, 2016",815.0,69
32501,Oh...Sir! Prototype,91% of the 895 user reviews for this game are positive.,['Indie'],['Multi-player'],"Linux,Mac,Windows,","Vile MonarchPublisher:Good Shepherd EntertainmentRelease Date: Dec 21, 2015",814.0,70
25909,Full Throttle Remastered,94% of the 863 user reviews for this game are positive.,['Adventure'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Double Fine Productions, Shiny ShoePublisher:Double Fine ProductionsRelease Date: Apr 18, 2017",811.0,71
20653,Rusty Lake Paradise,94% of the 860 user reviews for this game are positive.,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Mac,Windows,","Rusty LakePublisher:Rusty LakeRelease Date: Jan 11, 2018",808.0,72
37207,Indie Game: The Movie,96% of the 840 user reviews for this game are positive.,['Indie'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Commentary available']","Mac,Windows,","BlinkWorks MediaPublisher:BlinkWorks MediaRelease Date: Jun 12, 2012",806.0,73
282,Broken Sword: Director's Cut,92% of the 876 user reviews for this game are positive.,['Adventure'],['Single-player'],"Windows,","Revolution Software LtdPublisher:Revolution Software LtdRelease Date: Sep 2, 2010",806.0,73
29611,Dead by Daylight - The 80's Suitcase,91% of the 886 user reviews for this game are positive.,['Action'],"['Multi-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","Windows,","Behaviour Digital Inc.Publisher:Behaviour Digital Inc.Release Date: Sep 23, 2016",806.0,73
2928,Prison Architect,"93% of the 26,267 user reviews for this game are positive.","['Indie', 'Simulation', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']","Linux,Mac,Windows,","Introversion SoftwarePublisher:Introversion SoftwareRelease Date: Oct 6, 2015",805.0,76
1675,Sigils of Elohim,92% of the 875 user reviews for this game are positive.,"['Casual', 'Free to Play', 'Indie', 'Strategy']",['Single-player'],"Linux,Mac,Windows,","CroteamPublisher:Devolver DigitalRelease Date: Oct 13, 2014",805.0,76
440,Before the Echo,88% of the 915 user reviews for this game are positive.,"['Indie', 'RPG']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Iridium StudiosRelease Date: Oct 20, 2011",805.0,76
38786,DOKA 2 KISHKI EDITION,92% of the 873 user reviews for this game are positive.,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam is learning about this game\xa0']","Windows,","AgafonoffPublisher:AgafonoffRelease Date: Nov 5, 2018",803.0,79
3534,STAR WARS™ Galactic Battlegrounds Saga,87% of the 923 user reviews for this game are positive.,"['Action', 'Strategy']","['Single-player', 'Local Multi-Player', 'Steam Cloud']","Windows,","Ensemble StudiosPublisher:Disney Interactive, Lucasfilm, LucasArtsRelease Date: Nov 9, 2001",803.0,79
32799,Dota 2 Player Profiles,91% of the 882 user reviews for this series are positive.,,,"SteamOS,Linux,Mac,Windows,",,803.0,79
37363,Rochard,91% of the 881 user reviews for this game are positive.,"['Action', 'Indie', 'Casual']","['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']","Linux,Mac,Windows,","Recoil GamesRelease Date: Nov 15, 2011",802.0,82
1484,Terrorhedron Tower Defense,84% of the 953 user reviews for this game are positive.,"['Casual', 'Indie', 'Strategy']","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Windows,","Dan WaltersPublisher:Dan WaltersRelease Date: Jul 24, 2014",801.0,83
23240,Dead by Daylight - Leatherface™,86% of the 930 user reviews for this game are positive.,['Action'],"['Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","Windows,","Behaviour Digital Inc.Publisher:Behaviour Digital Inc.Release Date: Sep 14, 2017",800.0,84
6706,Immortal Redneck,93% of the 860 user reviews for this game are positive.,"['Action', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']","Linux,Mac,Windows,","CremaPublisher:CremaRelease Date: Apr 25, 2017",800.0,84
886,Assault Android Cactus,95% of the 841 user reviews for this game are positive.,"['Action', 'Indie']","['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Linux,Mac,Windows,","Witch BeamPublisher:Witch BeamRelease Date: Sep 23, 2015",799.0,86
31681,,"95% of the 2,787 user reviews for this game are positive.",,"['Single-player', 'SteamVR Collectibles', 'Steam Leaderboards', 'HTC Vive', 'Oculus Rift', 'Windows Mixed Reality', 'Tracked Motion Controllers', 'Standing', 'Room-Scale']","Windows,",,799.0,86
34497,Blue Estate The Game,91% of the 878 user reviews for this game are positive.,['Action'],"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']","Windows,","HE SAWPublisher:HE SAWRelease Date: Apr 8, 2015",799.0,86
1361,Rise of Nations: Extended Edition,"91% of the 4,324 user reviews for this game are positive.","['Simulation', 'Strategy']","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","Windows,","SkyBox Labs, Big Huge GamesPublisher:Microsoft StudiosRelease Date: Jun 12, 2014",799.0,86
6823,planetarian HD,98% of the 814 user reviews for this game are positive.,"['Adventure', 'Casual', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Windows,","VisualArts/KeyPublisher:VisualArtsRelease Date: May 8, 2017",798.0,90
23521,Last Day of June,91% of the 875 user reviews for this game are positive.,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']","Windows,","OvosonicoPublisher:505 GamesRelease Date: Aug 31, 2017",796.0,91
5899,CAYNE,80% of the 992 user reviews for this game are positive.,"['Adventure', 'Casual', 'Free to Play', 'Indie']","['Single-player', 'Steam Achievements']","SteamOS,Linux,Mac,Windows,","THE BROTHERHOODPublisher:THE BROTHERHOODRelease Date: Jan 24, 2017",794.0,92
25318,,82% of the 964 user reviews for this game are positive.,,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Trading Cards', 'Partial Controller Support', 'HTC Vive', 'Oculus Rift', 'Windows Mixed Reality', 'Tracked Motion Controllers', 'Gamepad', 'Seated']","Windows,",,790.0,93
38562,Europa Universalis III Complete,86% of the 919 user reviews for this game are positive.,['Strategy'],"['Single-player', 'Multi-player', 'Steam Trading Cards']","Mac,Windows,","Paradox Development StudioPublisher:Paradox InteractiveRelease Date: Jan 23, 2007",790.0,93
480,Dustforce DX,93% of the 848 user reviews for this game are positive.,"['Action', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']","Mac,Windows,","Hitbox TeamRelease Date: Jan 17, 2012",789.0,95
20083,,90% of the 877 user reviews for this game are positive.,,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Cloud', 'HTC Vive', 'Oculus Rift', 'Tracked Motion Controllers', 'Seated', 'Standing', 'Room-Scale']","Windows,",,789.0,95
2578,No Time To Explain Remastered,83% of the 951 user reviews for this game are positive.,"['Action', 'Adventure', 'Casual', 'Indie']","['Single-player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']","SteamOS,Linux,Mac,Windows,","tinyBuildPublisher:tinyBuildRelease Date: Jul 17, 2015",789.0,95
3810,The Banner Saga 2,"91% of the 1,375 user reviews for this game are positive.","['Indie', 'RPG', 'Strategy']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","Mac,Windows,","StoicPublisher:Versus EvilRelease Date: Apr 19, 2016",789.0,95
