,all_ratio,genre
13488,76%,Casual
13496,55%,Casual
13540,64%,Casual
13542,90%,Casual
13633,66%,Casual
13634,87%,Casual
13682,97%,Casual
13683,96%,Casual
13715,77%,Casual
13729,92%,Casual
13818,66%,Casual
13863,88%,Casual
13873,89%,Casual
13905,69%,Casual
13960,68%,Casual
14002,60%,Casual
14050,90%,Casual
14127,69%,Casual
14173,100%,Casual
14180,93%,Casual
14203,34%,Casual
14245,97%,Casual
14308,47%,Casual
14320,68%,Casual
14397,60%,Casual
14398,47%,Casual
14428,56%,Casual
14470,56%,Casual
14489,53%,Casual
14490,82%,Casual
14526,75%,Casual
14561,81%,Casual
14621,63%,Casual
14641,85%,Casual
14643,57%,Casual
14710,88%,Casual
14728,100%,Casual
14729,87%,Casual
14769,83%,Casual
14795,75%,Casual
14798,88%,Casual
14805,31%,Casual
14818,16%,Casual
14819,66%,Casual
14829,86%,Casual
14831,3%,Casual
14847,77%,Casual
14850,68%,Casual
14862,87%,Casual
14863,73%,Casual
14868,75%,Casual
14919,61%,Casual
14938,98%,Casual
14939,50%,Casual
14965,36%,Casual
14970,91%,Casual
14971,90%,Casual
14986,89%,Casual
14998,61%,Casual
14999,74%,Casual
15001,96%,Casual
15036,60%,Casual
15037,53%,Casual
15038,100%,Casual
15039,72%,Casual
15040,90%,Casual
15043,76%,Casual
15050,83%,Casual
15061,49%,Casual
15074,62%,Casual
15075,41%,Casual
15076,96%,Casual
15077,95%,Casual
15078,80%,Casual
15130,93%,Casual
15154,93%,Casual
15155,100%,Casual
15156,84%,Casual
15157,97%,Casual
15158,97%,Casual
15168,52%,Casual
15193,70%,Casual
15197,89%,Casual
15202,92%,Casual
15203,86%,Casual
15204,95%,Casual
15207,97%,Casual
15208,96%,Casual
15212,34%,Casual
15213,23%,Casual
15214,27%,Casual
15225,91%,Casual
15233,47%,Casual
15246,95%,Casual
15267,88%,Casual
15283,15%,Casual
15285,50%,Casual
15343,48%,Casual
15371,55%,Casual
15467,81%,Casual
15483,97%,Casual
15485,81%,Casual
15499,38%,Casual
15574,89%,Casual
15589,93%,Casual
15590,86%,Casual
15633,78%,Casual
15688,83%,Casual
15773,63%,Casual
15803,95%,Casual
15823,94%,Casual
15835,66%,Casual
15848,89%,Casual
15860,74%,Casual
15872,76%,Casual
15885,58%,Casual
15892,70%,Casual
15893,90%,Casual
15895,79%,Casual
15901,80%,Casual
15947,91%,Casual
15948,57%,Casual
15992,87%,Casual
15997,88%,Casual
15999,81%,Casual
16029,71%,Casual
16046,55%,Casual
16056,92%,Casual
16064,73%,Casual
16070,88%,Casual
16079,95%,Casual
16082,87%,Casual
16096,62%,Casual
16100,81%,Casual
16103,65%,Casual
16152,94%,Casual
16161,76%,Casual
16163,70%,Casual
16188,87%,Casual
16210,88%,Casual
16216,90%,Casual
16217,33%,Casual
16218,76%,Casual
16229,70%,Casual
16230,70%,Casual
16231,100%,Casual
16232,83%,Casual
16254,88%,Casual
16270,93%,Casual
16271,93%,Casual
16272,90%,Casual
16274,72%,Casual
16276,80%,Casual
16323,74%,Casual
16330,90%,Casual
16348,70%,Casual
16369,72%,Casual
16379,66%,Casual
16387,95%,Casual
16398,90%,Casual
16402,88%,Casual
16414,94%,Casual
16415,70%,Casual
16416,71%,Casual
16425,47%,Casual
16436,84%,Casual
16441,40%,Casual
16485,59%,Casual
16486,58%,Casual
16510,94%,Casual
16523,54%,Casual
16556,70%,Casual
16581,92%,Casual
16596,66%,Casual
16597,68%,Casual
16636,72%,Casual
16637,76%,Casual
16640,59%,Casual
16642,92%,Casual
16656,90%,Casual
16657,81%,Casual
16679,95%,Casual
16692,90%,Casual
16693,87%,Casual
16694,92%,Casual
16695,86%,Casual
16696,90%,Casual
16697,93%,Casual
16698,96%,Casual
16699,95%,Casual
16700,92%,Casual
