,app_name,title,id,url,all_ratio,genres,specs,platform,developer,Developer,Publisher,Release_Date,Positive_Review,Positive_Review_Rank,Top_Played_Rank
34289,Batla,Batla,338180.0,https://store.steampowered.com/app/338180/Batla/,"58% of the 2,767 user reviews for this game are positive.","['Action', 'Free to Play']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards']","Windows,","[geim].proPublisher:Abyss Lights Studio LLPRelease Date: May 14, 2015",geim pro,Abyss Lights Studio LLP,May 14 2015,1605.0,919,
38213,Nation Red,Nation Red,39800.0,https://store.steampowered.com/app/39800/Nation_Red/,"88% of the 1,821 user reviews for this game are positive.","['Action', 'Indie']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Linux,Mac,Windows,","DiezelPowerPublisher:DiezelPowerRelease Date: Aug 23, 2010",DiezelPower,DiezelPower,Aug 23 2010,1602.0,920,
11111,Rules Of Survival,Rules Of Survival,788260.0,https://store.steampowered.com/app/788260/Rules_Of_Survival/,"62% of the 2,583 user reviews for this game are positive.","['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy']","['Online Multi-Player', 'In-App Purchases']","Windows,","Netease GamesPublisher:Netease GamesRelease Date: May 30, 2018",Netease Games,Netease Games,May 30 2018,1601.0,921,
25563,Dead by Daylight - Spark of Madness Chapter,Dead by Daylight - Spark of Madness Chapter,582600.0,https://store.steampowered.com/app/582600/Dead_by_Daylight__Spark_of_Madness_Chapter/,"93% of the 1,719 user reviews for this game are positive.",['Action'],"['Multi-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","Windows,","Behaviour Digital Inc.Publisher:Starbreeze PublishingRelease Date: May 11, 2017",Behaviour Digital Inc,Starbreeze Publishing,May 11 2017,1599.0,922,
791,Organ Trail: Director's Cut,Organ Trail: Director's Cut,233740.0,https://store.steampowered.com/app/233740/Organ_Trail_Directors_Cut/,"89% of the 1,795 user reviews for this game are positive.","['Indie', 'Strategy']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Linux,Mac,Windows,","The Men Who Wear Many HatsPublisher:The Men Who Wear Many HatsRelease Date: Mar 19, 2013",The Men Who Wear Many Hats,The Men Who Wear Many Hats,Mar 19 2013,1598.0,923,
619,They Bleed Pixels,They Bleed Pixels,211260.0,https://store.steampowered.com/app/211260/They_Bleed_Pixels/,"87% of the 1,837 user reviews for this game are positive.","['Action', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","Linux,Mac,Windows,","Spooky Squid Games Inc.Publisher:Spooky Squid Games Inc.Release Date: Aug 29, 2012",Spooky Squid Games Inc,Spooky Squid Games Inc,Aug 29 2012,1598.0,923,
19870,Dead Maze,Dead Maze,667890.0,https://store.steampowered.com/app/667890/Dead_Maze/,"70% of the 2,281 user reviews for this game are positive.","['Action', 'Free to Play', 'Massively Multiplayer']","['Multi-player', 'Online Multi-Player', 'MMO', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']","Linux,Mac,Windows,","Atelier 801Publisher:Atelier 801Release Date: Feb 13, 2018",Atelier 801,Atelier 801,Feb 13 2018,1597.0,925,
4140,The Solus Project,,313630.0,https://store.steampowered.com/app/313630/The_Solus_Project/,"79% of the 2,020 user reviews for this game are positive.",,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'HTC Vive', 'Oculus Rift', 'Tracked Motion Controllers', 'Gamepad', 'Seated', 'Standing', 'Room-Scale']","Windows,",,,,,1596.0,926,
12490,Heavy Metal Machines,Heavy Metal Machines,331360.0,https://store.steampowered.com/app/331360/Heavy_Metal_Machines/,"71% of the 2,245 user reviews for this game are positive.","['Action', 'Free to Play', 'Indie', 'Racing', 'Sports', 'Strategy']","['Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Trading Cards', 'Captions available', 'In-App Purchases']","Windows,","HoplonPublisher:HoplonRelease Date: Sep 19, 2018",Hoplon,Hoplon,Sep 19 2018,1594.0,927,
559,Dungeons & Dragons Online®,Dungeons &amp; Dragons Online®,206480.0,https://store.steampowered.com/app/206480/Dungeons__Dragons_Online/,"71% of the 2,244 user reviews for this game are positive.","['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",['MMO'],"Mac,Windows,","Standing Stone Games, LLCPublisher:Standing Stone Games, LLCRelease Date: Jun 25, 2012",Standing Stone Games LLC,Standing Stone Games LLC,Jun 25 2012,1593.0,928,
22062,Sonic Forces,Sonic Forces,637100.0,https://store.steampowered.com/app/637100/Sonic_Forces/,"68% of the 2,343 user reviews for this game are positive.","['Action', 'Adventure']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","Windows,","Sonic Team, HardlightPublisher:SEGARelease Date: Nov 7, 2017",Sonic Team Hardlight,SEGA,Nov 7 2017,1593.0,928,
32787,Hard West,Hard West,307670.0,https://store.steampowered.com/app/307670/Hard_West/,"77% of the 2,067 user reviews for this game are positive.","['Adventure', 'Indie', 'RPG', 'Strategy']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Mac,Windows,","CreativeForge GamesPublisher:Good Shepherd EntertainmentRelease Date: Nov 18, 2015",CreativeForge Games,Good Shepherd Entertainment,Nov 18 2015,1592.0,930,
9749,DESOLATE,DESOLATE,671510.0,https://store.steampowered.com/app/671510/DESOLATE/,"68% of the 2,341 user reviews for this game are positive.","['Action', 'Adventure', 'RPG', 'Early Access']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Partial Controller Support', 'Steam Cloud']","Windows,","NeargaPublisher:HypeTrain DigitalRelease Date: Feb 8, 2018",Nearga,HypeTrain Digital,Feb 8 2018,1592.0,930,
9544,The Red Strings Club,The Red Strings Club,589780.0,https://store.steampowered.com/app/589780/The_Red_Strings_Club/,"91% of the 1,748 user reviews for this game are positive.","['Adventure', 'Indie']","['Single-player', 'Steam Achievements']","Linux,Mac,Windows,","DeconstructeamPublisher:Devolver DigitalRelease Date: Jan 22, 2018",Deconstructeam,Devolver Digital,Jan 22 2018,1591.0,932,
22614,Otaku's Fantasy,Otaku's Fantasy,712050.0,https://store.steampowered.com/app/712050/Otakus_Fantasy/,"89% of the 1,787 user reviews for this game are positive.","['Adventure', 'Casual', 'Indie']","['Single-player', 'Steam Trading Cards', 'Steam Cloud']","Windows,","DieselminePublisher:Paradise ProjectRelease Date: Oct 11, 2017",Dieselmine,Paradise Project,Oct 11 2017,1590.0,933,
9168,Euro Truck Simulator 2 - Special Transport,Euro Truck Simulator 2 - Special Transport,558245.0,https://store.steampowered.com/app/558245/Euro_Truck_Simulator_2__Special_Transport/,"89% of the 1,786 user reviews for this game are positive.","['Indie', 'Simulation']","['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Includes level editor']","Linux,Mac,Windows,","SCS SoftwarePublisher:SCS SoftwareRelease Date: Dec 13, 2017",SCS Software,SCS Software,Dec 13 2017,1590.0,933,
