,app_name,title,id,url,all_ratio,genres,specs,platform,developer,Developer,Publisher,Release_Date,Positive_Review,Positive_Review_Rank,Top_Played_Rank
20992,PLAYERUNKNOWN'S BATTLEGROUNDS,PLAYERUNKNOWN'S BATTLEGROUNDS,578080.0,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/,"49% of the 761,549 user reviews for this game are positive.","['Action', 'Adventure', 'Massively Multiplayer']","['Multi-player', 'Online Multi-Player', 'Stats']","Windows,","PUBG CorporationPublisher:PUBG CorporationRelease Date: Dec 21, 2017",PUBG Corporation,PUBG Corporation,Dec 21 2017,373159.0,2,1.0
861,Dota 2,,570.0,https://store.steampowered.com/app/570/Dota_2/,"86% of the 939,602 user reviews for this game are positive.",,"['Multi-player', 'Co-op', 'Steam Trading Cards', 'Steam Workshop', 'SteamVR Collectibles', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'HTC Vive', 'Tracked Motion Controllers', 'Seated', 'Standing', 'Room-Scale']","Linux,Mac,Windows,",,,,,808058.0,1,2.0
7805,ARK: Survival Evolved,ARK: Survival Evolved,346110.0,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/,"68% of the 154,553 user reviews for this game are positive.","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']","['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor']","Linux,Mac,Windows,","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLCPublisher:Studio WildcardRelease Date: Aug 27, 2017",Studio Wildcard Instinct Games Efecto Studios Virtual Basement LLC,Studio Wildcard,Aug 27 2017,105096.0,12,6.0
14873,MONSTER HUNTER: WORLD,MONSTER HUNTER: WORLD,582010.0,https://store.steampowered.com/app/582010/MONSTER_HUNTER_WORLD/,"54% of the 41,880 user reviews for this game are positive.",['Action'],"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","Windows,","CAPCOM Co., Ltd.Publisher:CAPCOM Co., Ltd.Release Date: Aug 9, 2018",CAPCOM Co Ltd,CAPCOM Co Ltd,Aug 9 2018,22615.0,66,9.0
38962,Garry's Mod,Garry's Mod,4000.0,https://store.steampowered.com/app/4000/Garrys_Mod/,"95% of the 286,203 user reviews for this game are positive.","['Indie', 'Simulation']","['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor']","Linux,Mac,Windows,","Facepunch StudiosPublisher:ValveRelease Date: Nov 29, 2006",Facepunch Studios,Valve,Nov 29 2006,271893.0,4,14.0
767,Euro Truck Simulator 2,Euro Truck Simulator 2,227300.0,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/,"96% of the 111,350 user reviews for this game are positive.","['Indie', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Includes level editor']","Linux,Mac,Windows,","SCS SoftwarePublisher:SCS SoftwareRelease Date: Oct 12, 2012",SCS Software,SCS Software,Oct 12 2012,106896.0,11,20.0
12506,Ring of Elysium,Ring of Elysium,755790.0,https://store.steampowered.com/app/755790/Ring_of_Elysium/,"72% of the 19,145 user reviews for this game are positive.","['Action', 'Free to Play', 'Massively Multiplayer', 'Early Access']",['Online Multi-Player'],"Windows,","Tencent GamesPublisher:Tencent GamesRelease Date: Sep 19, 2018",Tencent Games,Tencent Games,Sep 19 2018,13784.0,123,21.0
24785,Unturned,Unturned,304930.0,https://store.steampowered.com/app/304930/Unturned/,"90% of the 316,287 user reviews for this game are positive.","['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']","['Single-player', 'Online Multi-Player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']","Linux,Mac,Windows,","Smartly Dressed GamesPublisher:Smartly Dressed GamesFranchise:UnturnedRelease Date: Jul 7, 2017",Smartly Dressed Games,Smartly Dressed GamesFranchise Unturned,Jul 7 2017,284658.0,3,23.0
371,Terraria,Terraria,105600.0,https://store.steampowered.com/app/105600/Terraria/,"96% of the 179,000 user reviews for this game are positive.","['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Re-LogicPublisher:Re-LogicRelease Date: May 16, 2011",Re Logic,Re Logic,May 16 2011,171840.0,5,26.0
950,Path of Exile,Path of Exile,238960.0,https://store.steampowered.com/app/238960/Path_of_Exile/,"91% of the 64,588 user reviews for this game are positive.","['Action', 'Adventure', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG']","['Single-player', 'Multi-player', 'Online Multi-Player', 'MMO', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']","Windows,","Grinding Gear GamesPublisher:Grinding Gear GamesRelease Date: Oct 23, 2013",Grinding Gear Games,Grinding Gear Games,Oct 23 2013,58775.0,23,27.0
8762,Football Manager 2018,Football Manager 2018,624090.0,https://store.steampowered.com/app/624090/Football_Manager_2018/,"60% of the 4,404 user reviews for this game are positive.","['Simulation', 'Sports']","['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']","SteamOS,Linux,Mac,Windows,","Sports InteractivePublisher:SEGARelease Date: Nov 9, 2017",Sports Interactive,SEGA,Nov 9 2017,2642.0,619,28.0
31544,Don't Starve Together,Don't Starve Together,322330.0,https://store.steampowered.com/app/322330/Dont_Starve_Together/,"96% of the 57,550 user reviews for this game are positive.","['Adventure', 'Indie', 'Simulation']","['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop']","Linux,Mac,Windows,","Klei EntertainmentPublisher:Klei EntertainmentRelease Date: Apr 21, 2016",Klei Entertainment,Klei Entertainment,Apr 21 2016,55248.0,25,30.0
39097,Counter-Strike,Counter-Strike,10.0,https://store.steampowered.com/app/10/CounterStrike/,"96% of the 59,056 user reviews for this game are positive.",['Action'],"['Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Valve Anti-Cheat enabled']","Linux,Mac,Windows,","ValvePublisher:ValveRelease Date: Nov 1, 2000",Valve,Valve,Nov 1 2000,56694.0,24,32.0
28637,World of Tanks Blitz,World of Tanks Blitz,444200.0,https://store.steampowered.com/app/444200/World_of_Tanks_Blitz/,"69% of the 16,124 user reviews for this game are positive.","['Action', 'Free to Play', 'Massively Multiplayer']","['Online Multi-Player', 'MMO', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'In-App Purchases']","Mac,Windows,","Wargaming Group LimitedPublisher:Wargaming Group LimitedRelease Date: Nov 9, 2016",Wargaming Group Limited,Wargaming Group Limited,Nov 9 2016,11126.0,155,33.0
31073,Hearts of Iron IV,Hearts of Iron IV,394360.0,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/,"84% of the 21,990 user reviews for this game are positive.","['Simulation', 'Strategy']","['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']","Linux,Mac,Windows,","Paradox Development StudioPublisher:Paradox InteractiveRelease Date: Jun 6, 2016",Paradox Development Studio,Paradox Interactive,Jun 6 2016,18472.0,84,34.0
36670,War Thunder,,236390.0,https://store.steampowered.com/app/236390/War_Thunder/,"79% of the 96,541 user reviews for this game are positive.",,"['Single-player', 'MMO', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'HTC Vive', 'Oculus Rift', 'Gamepad', 'Keyboard / Mouse', 'Seated']","SteamOS,Linux,Mac,Windows,",,,,,76267.0,18,35.0
5032,Wallpaper Engine,Wallpaper Engine,431960.0,https://store.steampowered.com/app/431960/Wallpaper_Engine/,"96% of the 51,660 user reviews for this software are positive.","['Animation &amp; Modeling', 'Design &amp; Illustration', 'Utilities', 'Early Access']","['Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']","Windows,","Kristjan SkuttaPublisher:Kristjan SkuttaRelease Date: Oct 10, 2016",Kristjan Skutta,Kristjan Skutta,Oct 10 2016,49594.0,27,36.0
12957,RimWorld,RimWorld,294100.0,https://store.steampowered.com/app/294100/RimWorld/,"97% of the 23,555 user reviews for this game are positive.","['Indie', 'Simulation', 'Strategy']","['Single-player', 'Steam Workshop', 'Steam Cloud']","Linux,Mac,Windows,","Ludeon StudiosPublisher:Ludeon StudiosRelease Date: Oct 17, 2018",Ludeon Studios,Ludeon Studios,Oct 17 2018,22848.0,64,37.0
34695,Cities: Skylines,Cities: Skylines,255710.0,https://store.steampowered.com/app/255710/Cities_Skylines/,"91% of the 48,189 user reviews for this game are positive.","['Simulation', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor']","Linux,Mac,Windows,","Colossal Order Ltd.Publisher:Paradox InteractiveRelease Date: Mar 10, 2015",Colossal Order Ltd,Paradox Interactive,Mar 10 2015,43852.0,32,40.0
872,Europa Universalis IV,Europa Universalis IV,236850.0,https://store.steampowered.com/app/236850/Europa_Universalis_IV/,"81% of the 30,995 user reviews for this game are positive.","['Simulation', 'Strategy']","['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']","Linux,Mac,Windows,","Paradox Development StudioPublisher:Paradox InteractiveRelease Date: Aug 13, 2013",Paradox Development Studio,Paradox Interactive,Aug 13 2013,25106.0,59,41.0
38060,Left 4 Dead 2,Left 4 Dead 2,550.0,https://store.steampowered.com/app/550/Left_4_Dead_2/,"96% of the 138,699 user reviews for this game are positive.",['Action'],"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Commentary available']","Linux,Mac,Windows,","ValvePublisher:ValveRelease Date: Nov 16, 2009",Valve,Valve,Nov 16 2009,133151.0,9,45.0
489,Crusader Kings II,Crusader Kings II,203770.0,https://store.steampowered.com/app/203770/Crusader_Kings_II/,"89% of the 18,156 user reviews for this game are positive.","['RPG', 'Simulation', 'Strategy']","['Single-player', 'Multi-player', 'Steam Trading Cards']","Linux,Mac,Windows,","Paradox Development StudioPublisher:Paradox InteractiveRelease Date: Feb 14, 2012",Paradox Development Studio,Paradox Interactive,Feb 14 2012,16159.0,103,46.0
21866,Slay the Spire,Slay the Spire,646570.0,https://store.steampowered.com/app/646570/Slay_the_Spire/,"95% of the 16,854 user reviews for this game are positive.","['Indie', 'Strategy', 'Early Access']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","Linux,Mac,Windows,","Mega Crit GamesPublisher:Mega Crit GamesRelease Date: Nov 14, 2017",Mega Crit Games,Mega Crit Games,Nov 14 2017,16011.0,106,48.0
22514,Brawlhalla,Brawlhalla,291550.0,https://store.steampowered.com/app/291550/Brawlhalla/,"83% of the 76,593 user reviews for this game are positive.","['Action', 'Free to Play', 'Indie']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']","Mac,Windows,","Blue Mammoth GamesPublisher:UbisoftRelease Date: Oct 17, 2017",Blue Mammoth Games,Ubisoft,Oct 17 2017,63572.0,20,52.0
12510,太吾绘卷 The Scroll Of Taiwu,太吾绘卷 The Scroll Of Taiwu,838350.0,https://store.steampowered.com/app/838350/_The_Scroll_Of_Taiwu/,"88% of the 11,478 user reviews for this game are positive.","['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy', 'Early Access']","['Single-player', 'Steam is learning about this game\xa0']","Windows,","ConchShip GamesPublisher:ConchShip GamesRelease Date: Sep 21, 2018",ConchShip Games,ConchShip Games,Sep 21 2018,10101.0,179,53.0
13306,MapleStory 2,MapleStory 2,560380.0,https://store.steampowered.com/app/560380/MapleStory_2/,"74% of the 3,846 user reviews for this game are positive.","['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Simulation']","['Multi-player', 'Online Multi-Player', 'MMO', 'Co-op', 'Online Co-op', 'In-App Purchases', 'Partial Controller Support']","Windows,","Nexon Korea CorporationPublisher:Nexon America Inc.Release Date: Oct 4, 2018",Nexon Korea Corporation,Nexon America Inc,Oct 4 2018,2846.0,581,58.0
21803,Yu-Gi-Oh! Duel Links,Yu-Gi-Oh! Duel Links,601510.0,https://store.steampowered.com/app/601510/YuGiOh_Duel_Links/,"74% of the 8,374 user reviews for this game are positive.","['Free to Play', 'Strategy']","['Single-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']","Windows,","Konami Digital EntertainmentPublisher:Konami Digital EntertainmentRelease Date: Nov 16, 2017",Konami Digital Entertainment,Konami Digital Entertainment,Nov 16 2017,6197.0,297,59.0
6951,Black Desert Online,Black Desert Online,582660.0,https://store.steampowered.com/app/582660/Black_Desert_Online/,"64% of the 11,963 user reviews for this game are positive.","['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy']","['Online Multi-Player', 'MMO', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support']","Windows,","Pearl AbyssPublisher:Kakao Games Europe B.V.Release Date: May 24, 2017",Pearl Abyss,Kakao Games Europe B V,May 24 2017,7656.0,239,60.0
7510,Black Squad,Black Squad,550650.0,https://store.steampowered.com/app/550650/Black_Squad/,"74% of the 37,771 user reviews for this game are positive.","['Action', 'Free to Play', 'Early Access']","['Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']","Windows,","NS STUDIOPublisher:NEOWIZ, NEOBRICKSRelease Date: Jul 28, 2017",NS STUDIO,NEOWIZ NEOBRICKS,Jul 28 2017,27951.0,54,61.0
37930,Mount & Blade: Warband,Mount &amp; Blade: Warband,48700.0,https://store.steampowered.com/app/48700/Mount__Blade_Warband/,"97% of the 54,004 user reviews for this game are positive.","['Action', 'RPG']","['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']","Linux,Mac,Windows,","TaleWorlds EntertainmentPublisher:TaleWorlds EntertainmentRelease Date: Mar 31, 2010",TaleWorlds Entertainment,TaleWorlds Entertainment,Mar 31 2010,52384.0,26,62.0
5966,VRChat,,438100.0,https://store.steampowered.com/app/438100/VRChat/,"87% of the 20,187 user reviews for this game are positive.",,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Partial Controller Support', 'HTC Vive', 'Oculus Rift', 'Tracked Motion Controllers', 'Gamepad', 'Keyboard / Mouse', 'Seated', 'Standing', 'Room-Scale']","Windows,",,,,,17563.0,90,63.0
3973,Stellaris,Stellaris,281990.0,https://store.steampowered.com/app/281990/Stellaris/,"76% of the 27,416 user reviews for this game are positive.","['Simulation', 'Strategy']","['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']","Linux,Mac,Windows,","Paradox Development StudioPublisher:Paradox InteractiveRelease Date: May 9, 2016",Paradox Development Studio,Paradox Interactive,May 9 2016,20836.0,73,64.0
19485,H1Z1,H1Z1,433850.0,https://store.steampowered.com/app/433850/H1Z1/,"55% of the 197,660 user reviews for this game are positive.","['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer']","['Multi-player', 'Online Multi-Player', 'In-App Purchases']","Windows,","Daybreak Game Company, NantGPublisher:Daybreak Game CompanyRelease Date: Feb 28, 2018",Daybreak Game Company NantG,Daybreak Game Company,Feb 28 2018,108713.0,10,68.0
32057,Factorio,Factorio,427520.0,https://store.steampowered.com/app/427520/Factorio/,"98% of the 30,512 user reviews for this game are positive.","['Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Cloud', 'Includes level editor']","Linux,Mac,Windows,","Wube Software LTD.Publisher:Wube Software LTD.Release Date: Feb 25, 2016",Wube Software LTD,Wube Software LTD,Feb 25 2016,29902.0,50,69.0
8027,NBA 2K18,NBA 2K18,577800.0,https://store.steampowered.com/app/577800/NBA_2K18/,"27% of the 12,663 user reviews for this game are positive.","['Simulation', 'Sports']","['Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","Windows,","Visual ConceptsPublisher:2KFranchise:NBA 2KRelease Date: Sep 14, 2017",Visual Concepts,2KFranchise NBA 2K,Sep 14 2017,3419.0,506,76.0
23387,Idle Champions of the Forgotten Realms,Idle Champions of the Forgotten Realms,627690.0,https://store.steampowered.com/app/627690/Idle_Champions_of_the_Forgotten_Realms/,"80% of the 2,932 user reviews for this game are positive.","['Action', 'Adventure', 'Free to Play', 'Indie', 'Strategy', 'Early Access']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']","Mac,Windows,","Codename Entertainment Inc.Publisher:Codename Entertainment Inc.Release Date: Sep 7, 2017",Codename Entertainment Inc,Codename Entertainment Inc,Sep 7 2017,2346.0,682,78.0
5090,Heroes & Generals,Heroes &amp; Generals,227940.0,https://store.steampowered.com/app/227940/Heroes__Generals/,"65% of the 94,493 user reviews for this game are positive.","['Action', 'Free to Play', 'Indie', 'Massively Multiplayer']","['Multi-player', 'Online Multi-Player', 'MMO', 'In-App Purchases']","Windows,","RETO MOTOPublisher:RETO MOTORelease Date: Oct 18, 2016",RETO MOTO,RETO MOTO,Oct 18 2016,61420.0,22,85.0
28997,Farming Simulator 17,Farming Simulator 17,447020.0,https://store.steampowered.com/app/447020/Farming_Simulator_17/,"91% of the 10,045 user reviews for this game are positive.",['Simulation'],"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Mac,Windows,","Giants SoftwarePublisher:Focus Home InteractiveRelease Date: Oct 24, 2016",Giants Software,Focus Home Interactive,Oct 24 2016,9141.0,197,87.0
6904,Oxygen Not Included,Oxygen Not Included,457140.0,https://store.steampowered.com/app/457140/Oxygen_Not_Included/,"91% of the 12,304 user reviews for this game are positive.","['Indie', 'Simulation', 'Early Access']",['Single-player'],"Linux,Mac,Windows,","Klei EntertainmentPublisher:Klei EntertainmentRelease Date: May 18, 2017",Klei Entertainment,Klei Entertainment,May 18 2017,11197.0,154,88.0
19208,Warhammer: Vermintide 2,Warhammer: Vermintide 2,552500.0,https://store.steampowered.com/app/552500/Warhammer_Vermintide_2/,"72% of the 17,857 user reviews for this game are positive.",,"['Single-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']","Windows,","FatsharkPublisher:FatsharkRelease Date: Mar 8, 2018",Fatshark,Fatshark,Mar 8 2018,12857.0,128,93.0
24366,Crossout,Crossout,386180.0,https://store.steampowered.com/app/386180/Crossout/,"64% of the 14,993 user reviews for this game are positive.","['Action', 'Free to Play', 'Massively Multiplayer', 'Racing']","['Multi-player', 'Online Multi-Player', 'MMO', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases']","Windows,","Targem GamesPublisher:Gaijin EntertainmentRelease Date: Jul 26, 2017",Targem Games,Gaijin Entertainment,Jul 26 2017,9596.0,189,95.0
8829,World of Warships,World of Warships,552990.0,https://store.steampowered.com/app/552990/World_of_Warships/,"72% of the 9,172 user reviews for this game are positive.","['Action', 'Free to Play', 'Massively Multiplayer', 'Simulation']","['Multi-player', 'Online Multi-Player', 'MMO', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases']","Windows,","Wargaming Group LimitedPublisher:Wargaming Group LimitedRelease Date: Nov 15, 2017",Wargaming Group Limited,Wargaming Group Limited,Nov 15 2017,6604.0,282,97.0
32053,Grim Dawn,Grim Dawn,219990.0,https://store.steampowered.com/app/219990/Grim_Dawn/,"91% of the 20,260 user reviews for this game are positive.","['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Windows,","Crate EntertainmentPublisher:Crate EntertainmentRelease Date: Feb 25, 2016",Crate Entertainment,Crate Entertainment,Feb 25 2016,18437.0,85,98.0
20399,Subnautica,,264710.0,https://store.steampowered.com/app/264710/Subnautica/,"93% of the 73,289 user reviews for this game are positive.",,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'HTC Vive', 'Oculus Rift', 'Gamepad', 'Keyboard / Mouse', 'Seated', 'Standing']","Mac,Windows,",,,,,68159.0,19,100.0
10814,Paladins®,Paladins®,444090.0,https://store.steampowered.com/app/444090/Paladins/,"84% of the 186,323 user reviews for this game are positive.","['Action', 'Free to Play']","['Multi-player', 'Online Multi-Player', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support']","Windows,","Evil Mojo GamesPublisher:Hi-Rez StudiosRelease Date: May 8, 2018",Evil Mojo Games,Hi Rez Studios,May 8 2018,156511.0,6,
2530,Rocket League®,Rocket League®,252950.0,https://store.steampowered.com/app/252950/Rocket_League/,"91% of the 164,633 user reviews for this game are positive.","['Action', 'Indie', 'Racing', 'Sports']","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats']","Linux,Mac,Windows,","Psyonix, Inc.Publisher:Psyonix, Inc.Release Date: Jul 7, 2015",Psyonix Inc,Psyonix Inc,Jul 7 2015,149816.0,7,
2328,The Witcher® 3: Wild Hunt,The Witcher® 3: Wild Hunt,292030.0,https://store.steampowered.com/app/292030/The_Witcher_3_Wild_Hunt/,"97% of the 153,488 user reviews for this game are positive.",['RPG'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Windows,","CD PROJEKT REDPublisher:CD PROJEKT REDRelease Date: May 18, 2015",CD PROJEKT RED,CD PROJEKT RED,May 18 2015,148883.0,8,
8305,Doki Doki Literature Club!,Doki Doki Literature Club!,698780.0,https://store.steampowered.com/app/698780/Doki_Doki_Literature_Club/,"96% of the 104,336 user reviews for this game are positive.","['Casual', 'Free to Play', 'Indie']",['Single-player'],"Mac,Windows,","Team SalvatoPublisher:Team SalvatoRelease Date: Sep 22, 2017",Team Salvato,Team Salvato,Sep 22 2017,100163.0,13,
37467,Portal 2,Portal 2,620.0,https://store.steampowered.com/app/620/Portal_2/,"98% of the 93,472 user reviews for this game are positive.","['Action', 'Adventure']","['Single-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Includes level editor', 'Commentary available']","Linux,Mac,Windows,","ValvePublisher:ValveRelease Date: Apr 18, 2011",Valve,Valve,Apr 18 2011,91603.0,14,
23696,Robocraft,Robocraft,301520.0,https://store.steampowered.com/app/301520/Robocraft/,"72% of the 109,816 user reviews for this game are positive.","['Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation']","['Multi-player', 'Online Multi-Player', 'MMO', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']","Linux,Mac,Windows,","FreejamPublisher:FreejamRelease Date: Aug 24, 2017",Freejam,Freejam,Aug 24 2017,79068.0,15,
33286,Undertale,Undertale,391540.0,https://store.steampowered.com/app/391540/Undertale/,"95% of the 82,134 user reviews for this game are positive.","['Indie', 'RPG']","['Single-player', 'Steam Trading Cards']","Linux,Mac,Windows,","tobyfoxPublisher:tobyfoxRelease Date: Sep 15, 2015",tobyfox,tobyfox,Sep 15 2015,78027.0,16,
37616,Sid Meier's Civilization® V,Sid Meier's Civilization® V,8930.0,https://store.steampowered.com/app/8930/Sid_Meiers_Civilization_V/,"96% of the 79,467 user reviews for this game are positive.",['Strategy'],"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","SteamOS,Linux,Mac,Windows,","Firaxis Games, Aspyr (Mac), Aspyr (Linux)Publisher:2K, Aspyr (Mac), Aspyr (Linux)Franchise:Sid Meier's CivilizationRelease Date: Sep 21, 2010",Firaxis Games Aspyr Mac Aspyr Linux,2K Aspyr Mac Aspyr Linux Franchise Sid Meier s Civilization,Sep 21 2010,76288.0,17,
1084,Insurgency,Insurgency,222880.0,https://store.steampowered.com/app/222880/Insurgency/,"90% of the 68,400 user reviews for this game are positive.","['Action', 'Indie', 'Strategy']","['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Includes level editor']","Linux,Mac,Windows,","New World InteractivePublisher:New World InteractiveRelease Date: Jan 22, 2014",New World Interactive,New World Interactive,Jan 22 2014,61560.0,21,
30569,Starbound,Starbound,211820.0,https://store.steampowered.com/app/211820/Starbound/,"90% of the 54,432 user reviews for this game are positive.","['Action', 'Adventure', 'Casual', 'Indie', 'RPG']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']","Linux,Mac,Windows,","ChucklefishPublisher:ChucklefishRelease Date: Jul 22, 2016",Chucklefish,Chucklefish,Jul 22 2016,48989.0,28,
36536,No More Room in Hell,No More Room in Hell,224260.0,https://store.steampowered.com/app/224260/No_More_Room_in_Hell/,"89% of the 52,722 user reviews for this game are positive.","['Action', 'Free to Play', 'Indie']","['Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Captions available', 'Partial Controller Support', 'Valve Anti-Cheat enabled', 'Includes level editor', 'Includes Source SDK']","Linux,Mac,Windows,","No More Room in Hell TeamPublisher:Lever GamesRelease Date: Oct 31, 2011",No More Room in Hell Team,Lever Games,Oct 31 2011,46923.0,29,
33790,Trove,Trove,304050.0,https://store.steampowered.com/app/304050/Trove/,"77% of the 59,505 user reviews for this game are positive.","['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG']","['Online Multi-Player', 'MMO', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases']","Mac,Windows,","Trion WorldsPublisher:Trion WorldsRelease Date: Jul 9, 2015",Trion Worlds,Trion Worlds,Jul 9 2015,45819.0,30,
