,all_ratio,developer
215,74%,Cateia Games
216,78%,The Sims Studio
217,78%,The Sims Studio
218,80%,The Sims Studio
219,86%,The Sims Studio
220,57%,The Sims Studio
221,63%,Trinoteam
222,70%,Mediatonic
223,66%,The Sims Studio
224,61%,Cyan Worlds
225,47%,Actalogic
226,88%,Blendo Games
227,45%,Paradox Interactive
228,84%,Puppygames
229,88%,Steel Monkeys
230,48%,"Trine Studios, G3 Community Patch Team, Mad Vulture Games"
231,85%,Big Sandwich Games
232,75%,Arrowhead Game Studios
233,95%,Straandlooper
234,59%,Killspace Entertainment
235,82%,Alientrap
236,80%,Giant Army
237,85%,TaleWorlds Entertainment
238,88%,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)"
239,90%,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)"
240,76%,TimeGate Studios
241,80%,Power of 2
242,59%,Splash Damage
243,21%,Incinerator Studios
244,81%,Kot in Action Creative Artel
245,73%,Haemimont Games
246,75%,DTP
247,68%,Jason Rohrer
248,96%,Re-Logic
249,60%,Sandswept Studios
250,81%,Geoff Keighley
251,84%,Microids
252,65%,Arrowhead Game Studios
253,64%,Arrowhead Game Studios
254,85%,SimBin
255,30%,Bedlam Games
256,38%,Headup Games / Crenetic
257,71%,Secret Base
258,64%,1C: Maddox Games
259,78%,YeaBoing
260,77%,Mystic Box
261,60%,Digitalmindsoft
262,92%,Zachtronics
263,63%,Ubisoft Montpellier
264,70%,Sigma Team Inc.
265,82%,Swing Swing Submarine
266,83%,Spiderweb Software
267,45%,Paradox Interactive
268,88%,TimeGate Studios
269,87%,TimeGate Studios
270,73%,GSC Game World
271,79%,"Grey Havens, LLC"
272,76%,Hothead Games
273,91%,Haemimont Games
274,91%,ACE Team
275,60%,1C Entertainment
276,58%,"Octane Games, Meridian4"
277,66%,Paradox Development Studio
278,68%,PomPom
279,69%,HeR Interactive
280,96%,Robot Entertainment
281,34%,"Akella, .dat"
282,61%,Days of Wonder
283,65%,Dovetail Games
284,46%,Blackhole
285,94%,Double Fine Productions
286,84%,The Sims Studio
287,88%,PomPom
288,70%,Creat Studios Inc
289,85%,Team17 Digital Ltd
290,88%,Iridium Studios
291,77%,Ideas Pad
292,53%,"Vlambeer, Croteam"
293,16%,b-Alive
294,30%,Spellbound Studios
295,89%,Obsidian Entertainment
296,94%,Robot Entertainment
297,89%,Joshua Neurnberger
298,35%,Spectral Games
299,84%,Avalanche Studios
300,67%,Digital Eel
301,58%,Bohemia Interactive
302,52%,Nemesys Games
303,74%,Cipher Prime Studios
304,88%,Digital Reality
305,78%,Arrowhead Game Studios
306,35%,Arrowhead Game Studios
307,51%,Unicorn Games Studio
308,67%,"KrossRails, Dovetail Games"
309,76%,Stardock Entertainment
310,90%,Avalanche Studios
311,12%,Team 6 Studios
312,100%,"Haemimont Games, Feral Interactive (Mac)"
313,89%,"Vicious Cycle Software, Inc."
314,72%,Gas Powered Games
315,88%,Wadjet Eye Games
316,92%,Wadjet Eye Games
317,78%,StarWraith 3D Games LLC
318,93%,Hitbox Team
319,85%,Devil's Details
320,78%,Devil's Details
321,50%,SEGA
322,90%,Blit Software
323,89%,Paradox Development Studio
324,64%,Paradox Interactive
325,76%,Paradox Interactive
326,90%,Remedy Entertainment
327,42%,Thomson Interactive
328,30%,Little Green Men Games
329,82%,"Wild Shadow Studios, Deca Games"
330,52%,Med-Art
331,92%,"UBIart Montpellier, Feral Interactive (Mac)"
332,91%,"Grey Havens, LLC"
333,44%,virtualRailroads
334,85%,Cobra Mobile
335,87%,Strange Loop Games
336,97%,MumboJumbo
337,92%,Remedy Entertainment
338,90%,Bootsnake Games
339,63%,The Sims Studio
340,91%,Double Fine Productions
341,93%,Dovetail Games
342,38%,Aerosoft GmbH
343,66%,1C-SoftClub
344,83%,Eugen Systems
345,66%,virtualRailroads
346,79%,"Capybara, Superbrothers, Jim Guthrie"
347,88%,Shadow Planet Productions
348,30%,Paradox Interactive
349,40%,Paradox Interactive
350,36%,Paradox Development Studio
351,25%,Biart
352,58%,Dark Artz Entertainment
353,83%,Waterlily Games
354,64%,"Arcen Games, LLC"
355,55%,exDream
356,94%,Joakim Sandberg
357,76%,Piranha Bytes
358,93%,HeR Interactive
359,60%,Dovetail Games
360,82%,Dovetail Games
361,54%,Positech Games
