,all_ratio,developer
4809,80%,Timedrop Studios
4810,91%,Sang Hendrix
4811,92%,KoromoSoft
4812,84%,Vector Hat
4813,86%,Vox Games
4814,75%,"Nikita ""Ghost_RUS"""
4815,79%,Deceptive Games Ltd.
4816,91%,
4817,73%,Naddic Games
4818,54%,Naddic Games
4819,71%,Strange Loop Games
4820,66%,DimleTeam
4821,66%,Eversim
4822,85%,Sean Han Tani
4823,93%,ATOMIC BREATH
4824,84%,Jeff Weber
4825,94%,For Kids
4826,90%,Robit Games
4827,74%,Statespace
4828,69%,七彩绘色
4829,59%,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)"
4830,100%,Exordium Games
4831,76%,
4832,88%,The Wandering Ben
4833,66%,Data Realms
4834,84%,"Isabelle Dela Torre, José Fernando Gracia, Annaliese Bevan, Poppy de Raad"
4835,68%,Nearga
4836,67%,Big Ant Studios
4837,91%,Finite Reflection Studios
4838,50%,Monster Games
4839,72%,Hosted Games
4840,86%,Hosted Games
4841,89%,Klei Entertainment
4842,100%,Enter Name Here
4843,76%,
4844,92%,Winged Cloud
4845,89%,"Batterystaple Games, Fire Hose Games"
4846,83%,Howling Moon Software
4847,80%,"Benjamin Soulé, Mathieu Leyssenne, Yoann Laulan"
4848,83%,David Schneider
4849,66%,Bmc Studio
4850,94%,Hardcore__Games
4851,45%,Eloquence entertainment
4852,73%,"Dragonfly GF Co., LTD"
4853,93%,Eugen Systems
4854,72%,Reptoid Games
4855,97%,あみそ組
4856,63%,Xiotex Studios Ltd
4857,50%,MOS Games
4858,90%,kalanhow
4859,72%,CREATIVE ASSEMBLY
4860,81%,Woodsy Studio
4861,96%,Fishing Cactus
4862,75%,Tuomo Laine
4863,57%,ShotX Studio
4864,100%,Veyeral Games
4865,87%,TEAM HORAY
4866,91%,altairworks
4867,100%,Reason Generator Inc.
4868,96%,hamstercube
4869,100%,12 to 6 Studios LLC
4870,86%,Fenrisulfr Ruin1990
4871,82%,
4872,64%,KicklessGame
4873,54%,First Game Studio
4874,90%,Laush Dmitriy Sergeevich
4875,80%,Ubisoft Montreal
4876,50%,Sleepless Clinic
4877,92%,Life Jumb DT
4878,100%,Red twice potato
4879,66%,Fireblade Software
4880,90%,Kenny Roy
4881,74%,Emilios Manolidis
4882,81%,Slipgate Studios
4883,89%,Nuke Nine
4884,95%,Quiet River
4885,100%,Catze
4886,75%,Osmotic Studios
4887,75%,Spiderwork Games
4888,80%,Moving Dimensions
4889,92%,"Mane6, Inc."
4890,72%,Santima Games
4891,50%,Toasty Leaf AB
4892,83%,"7DOTS, Rock Frog"
4893,90%,All Those Moments
4894,70%,Bearded Bunnies
4895,83%,4 Dimension Games
4896,72%,DIMPS
4897,78%,DIMPS
4898,57%,Gamers4Gamers Team
4899,100%,Psydra Games LLC
4900,85%,Nelium Games
4901,29%,Royal Rudius Entertainment
4902,70%,Endless Loop Studios
4903,37%,KABloom Interactive
4904,79%,
4905,74%,"Lion Games Co., Ltd."
4906,80%,RogueCode (PTY) LTD
4907,71%,cyph3r
4908,100%,Uri Games
4909,78%,
4910,74%,Orbcreation
4911,100%,The Secret Experiement
4912,70%,Bad Seed
4913,91%,Subset Games
4914,77%,Brainwashing Games
4915,66%,Ripknot Systems
4916,94%,"IDEA FACTORY, COMPILE HEART, TAMSOFT"
4917,70%,Elllinia games
4918,100%,Future Proof Games
4919,100%,Kindermann Corp.
4920,79%,"QLOC, DIMPS"
4921,34%,"QLOC, DIMPS"
4922,52%,www.fishermangamedev.com
4923,100%,New 90's Games
4924,75%,
4925,100%,XoDupo
4926,98%,Gingertips Game Studio
4927,80%,
4928,95%,Squidlit Ink.
4929,70%,Easy game
4930,62%,Black Lime Studio
4931,86%,Nostalgia
4932,33%,Riad Arifin
4933,94%,Peace &amp; Love Games
4934,82%,"Psyonix, Inc."
4935,20%,Cankut Keskin
4936,66%,Red Dot Games
4937,93%,Shrimpcave Industries
4938,78%,Movavi
4939,84%,Skymap Games
4940,78%,
4941,75%,Arc System Works
4942,80%,FM Studio
4943,72%,Pinhead Games
4944,55%,Movavi
4945,100%,Lab Cat games
4946,100%,Haunted Tie
4947,57%,Racing Bros
4948,100%,Tamsoft
4949,71%,Miracle Gates Entertainment
4950,95%,ImpQueen
4951,86%,Artware Studio
4952,28%,PlayTech Studio
4953,48%,dotBunny
4954,97%,Hosted Games
4955,82%,Lunarch Studios
4956,76%,Snowcastle Games
4957,70%,GameChanger Studio
4958,90%,Thumbtack
4959,100%,Manalith Studios
4960,32%,MagicHouse
4961,50%,Don't Bite Devs
4962,81%,Tentacle Games
4963,97%,凝冰剑斩
4964,90%,Escu:de/Element
4965,84%,Painted Black Games
4966,72%,Mímir Studio
4967,83%,"Elder Game, LLC"
4968,66%,AlternativaPlatform
4969,46%,upjers
4970,72%,Giants Software
4971,91%,"GRASSHOPPER MANUFACTURE INC., Active Gaming Media Inc."
4972,84%,Hathos Interactive
4973,19%,DistrictTeam
4974,56%,Eko
4975,75%,Dave Gumble
4976,95%,
4977,45%,dev4play
4978,75%,Joshua Chen
4979,91%,
4980,75%,Output Games
4981,83%,zoocros
4982,81%,Mash Games
4983,89%,Darius Bode
4984,70%,Sunrise9
4985,77%,Space Horse
4986,15%,"Black Fox Entertainment, Starkom Entertainment"
4987,75%,
4988,59%,Akella
4989,92%,Flow Fire Games
4990,80%,Land Patricio
4991,76%,Falco Software
4992,76%,Studio Wasabi
4993,74%,BearFighterDev
4994,100%,Nefrace
4995,96%,Sierra Lee
4996,53%,
4997,80%,CUTE ANIME GIRLS
4998,96%,TERNOX
4999,100%,Krome Studios
5000,81%,Snkl Studio
5001,45%,Dovetail Games
5002,66%,MAGIX Software GmbH
5003,56%,J. Appallonia Hardner
5004,85%,"BoldPixel, Diedemor studio"
5005,100%,Tall Tail Studios
5006,42%,Playloft
5007,55%,Unwhale Studio
5008,92%,Dovetail Games
5009,63%,Hosted Games
5010,96%,LucasArts
5011,88%,КиКо
5012,94%,No Moon
5013,62%,Konstructors Entertainment
5014,88%,Para
5015,74%,
5016,27%,Corpix Games
5017,60%,Action Panel
5018,72%,
5019,60%,Level-5
5020,81%,Level-5
5021,51%,RewindApp
5022,70%,katanadeath
5023,76%,UMBRESS
5024,85%,EXOR Studios
5025,74%,ZemunBRE
5026,56%,iEntertainment Network Inc
5027,89%,あみそ組
5028,100%,"IMCGAMES Co.,Ltd."
5029,73%,KT Racing
5030,92%,"KOEI TECMO GAMES CO., LTD."
5031,76%,Super Icon Ltd
5032,89%,"Claudiu Kiss, The Irregular Corporation"
5033,59%,Illya
5034,95%,Pixel Reign
5035,82%,Luden.io
5036,90%,Indigo Entertainment
5037,79%,Minskworks
5038,54%,Cybertime System
5039,58%,UA Games
5040,40%,A Sweet Studio
5041,81%,RetroEpic Software
5042,65%,iDs Games
5043,66%,
5044,60%,Parallax Labs
5045,100%,Phil Fortier
5046,87%,Simple Ghost
5047,90%,MeatAtom
5048,84%,Khokhlov
5049,84%,Carbon Games
5050,69%,Genetic Studio
5051,70%,
5052,90%,
5053,96%,Dan Fornace
5054,90%,ImaginationOverflow
5055,76%,Red Dot Games
5056,92%,Point Bleep Studios
5057,100%,Pirotexnik
5058,93%,Katoa Games
5059,92%,KvK Games
5060,92%,"JW, Kitty, Jukio, and Dom"
5061,97%,"TT Games, Traveller's Tales"
5062,86%,18Light Game Ltd.
5063,90%,Bit Nurse
5064,80%,Fossil
5065,69%,Blender Games
5066,81%,CSM
5067,98%,Sealtail Studio
5068,65%,Skull
5069,71%,AlphaSoft LLC
5070,70%,"Nova B12, OtakuNovel"
5071,38%,Rifat Erdoğan
5072,72%,
5073,55%,
5074,52%,Creative Rail
5075,70%,AFBIK Studio
5076,78%,
5077,97%,Watercress Studios
5078,93%,Karosu-Maker
5079,100%,"Nodacoy Games, Jadan Bliss"
5080,77%,singi
5081,86%,
5082,60%,The Domaginarium
5083,80%,Zen Chess Club
5084,65%,DigitalDNA Games LLC
5085,53%,Fuero Games
5086,88%,Event Horizon
5087,87%,Expansive Worlds
5088,92%,Expansive Worlds
5089,42%,
5090,84%,"SNK CORPORATION, Abstraction Games"
5091,58%,
5092,66%,Bad Viking
5093,78%,The Game Brewery
5094,45%,RewindApp
5095,73%,"zha7, Phaedruns, Yingke Wu"
5096,100%,ARQUOIA
5097,91%,Triconn Games
5098,70%,
5099,81%,
5100,98%,Studio GU
5101,66%,Bullid Games
5102,92%,Piranha Games Inc.
5103,91%,Joshua Keith
5104,90%,Rablo Games
5105,88%,
5106,82%,VDimension
5107,50%,RSSLO
5108,46%,Music Breath
5109,78%,DreamGate
5110,50%,Milkjug Studios
5111,91%,Team Nekojishi
5112,100%,Team Nekojishi
5113,90%,Caden Goodwin
5114,86%,
5115,10%,Music Breath
5116,89%,Plueschkatze
5117,66%,Cherry Bloom
5118,85%,Nick Page!
5119,23%,TephraSPB
5120,82%,Holyday Studios
5121,40%,Falco Software
5122,21%,Corpix
5123,100%,"MaratG2, IanStudio"
5124,50%,onebitbeyond
5125,70%,Harebrained Schemes
5126,90%,Harebrained Schemes
5127,100%,Atomic Raccoon Studio
5128,100%,Eugene Volik
5129,61%,JDRumble
5130,80%,Mykel Flynn
5131,75%,Clouds
5132,67%,Blue Fiddich制作组
5133,81%,Vladili Rosso
5134,60%,
5135,83%,Cyberflix Incorporated
5136,70%,Blazing Griffin
5137,71%,Polytale
5138,70%,NetDragon
5139,74%,Factus Games
5140,86%,YFC games
5141,91%,Puppygames
5142,86%,Beautiful Glitch
5143,95%,Whirlpool
5144,66%,David Lewis
5145,80%,Bedtime Phobias
5146,76%,RewindApp
5147,75%,Flashynurav
5148,76%,
5149,67%,"William Xu, Alex Raita"
5150,59%,"橘子班, 大好网"
5151,100%,GameHouse
5152,62%,NetDragon Websoft Inc.
5153,34%,Linked Dimensions
5154,50%,Aristotelis Giannakopoulos
5155,81%,Metalhead Software Inc.
5156,76%,Mythical City Games
5157,96%,Anthony Case
5158,83%,Cersgame Studios
5159,91%,The Battle for Wesnoth Project
5160,99%,Cotton Game
5161,94%,Cotton Game
5162,78%,Nitreal
5163,60%,
5164,83%,nitopu
5165,76%,IndigoBlue Game Studio
5166,55%,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)"
5167,90%,Snikkabo AS
5168,45%,"upjers, KING Art"
5169,85%,nkm
5170,26%,Dovetail Games
5171,54%,Archetype Studios
5172,100%,Pistachi Studio
5173,73%,Stapleton
5174,94%,Alec Smith
5175,92%,Grizlikyt
5176,82%,Uppercut Games Pty Ltd
5177,100%,Smee
5178,65%,TP-STUDIOS
5179,63%,JoyBits Ltd.
5180,81%,Lcc
5181,28%,"ShinerJoy Technology Co., Ltd."
5182,36%,Joystick Knights
5183,77%,toR gaming
5184,83%,
5185,56%,
5186,100%,disfactNoir
5187,84%,Evil Mojo Games
5188,95%,Dan Sanderson
5189,66%,MakinGames Ltd
5190,95%,Hero Concept
5191,88%,InArcade
5192,86%,Saibot Studios
5193,50%,Chilla's Art
5194,58%,Sylvain Seccia
5195,100%,AP Thomson
5196,81%,Pippala Games
5197,75%,oddByte
5198,63%,Light Road Games
5199,68%,Hamsters Gaming
5200,70%,Tentacle Games
5201,100%,祥
5202,86%,DoubleMoose Games
5203,83%,Spearhead Games
5204,68%,Sandbox Interactive GmbH
5205,72%,Mikhail Melnikov
5206,71%,AFBIK Studio
5207,60%,Wild Factor
5208,91%,Bossa Studios
5209,100%,Manic Hyena
5210,88%,yeo
5211,94%,Bobby Zeal
5212,100%,Yitz
5213,95%,Quiet River
5214,60%,不想上班工作室™
5215,76%,"Nvizzio Creations, Meridian4"
5216,67%,"SAINT-FUN INTERNATIONAL CO., LTD."
5217,94%,Hosted Games
5218,93%,Empyrean
5219,93%,LoopyMood
5220,67%,IndieGala
5221,88%,Sergey Romanko
5222,53%,Tim Cornish
5223,65%,Stanley Lam
5224,74%,Groovy Milk
5225,95%,Ian Lilley
5226,79%,Handelabra Games Inc.
5227,64%,Narko Games
5228,47%,GreenThumbStudios
5229,59%,langqi
5230,77%,Marco Amadei
5231,90%,Jan Urbanek
5232,82%,Rokas
5233,84%,Clarus Victoria
5234,97%,
5235,67%,Techway
5236,27%,Labs Games
5237,56%,Crystal Dragon
5238,73%,Choice Provisions
5239,94%,Hiver Prod
5240,85%,Redblack Spade
5241,91%,Applimazing
5242,81%,Vyacheslav Shilikhin
5243,48%,Lilkkgoog
5244,83%,Winged Cloud
5245,96%,Sierra Lee
5246,66%,
5247,92%,Persera Software Inc.
5248,90%,VaNyuHa
5249,82%,Monster Couch
5250,100%,Unrea
5251,27%,Gamenesis
5252,100%,Flat Cat Games
5253,97%,"Antimatter Games, Tripwire Interactive"
5254,46%,Madmind Studio
5255,100%,Black Lab Games
5256,79%,
5257,72%,Longbow Games
5258,63%,Tamasenco
5259,84%,Heiden
5260,62%,Netease Games
5261,62%,Game Master LLC
5262,82%,Linkflag
5263,95%,
5264,94%,Daniel J Roberts
5265,87%,Membraine Studios
5266,80%,
5267,95%,PsyRob
5268,72%,CUTE ANIME GIRLS
5269,90%,Creoteam
5270,92%,Technomancy Studios
5271,75%,Winter Wolves
5272,5%,Aleksei Milchakov
5273,72%,Team HalfBeard
5274,40%,"D4O AG, Dialsoft, Nazagoth"
5275,94%,Killer Bee Software
5276,85%,Tall James Games
5277,72%,AFBIK Studio
5278,83%,GAMES FOR HUMANS
5279,48%,Wild Arts LLC
5280,77%,Idea Factory
5281,68%,Mistaken Visions
5282,77%,
5283,85%,DONTNOD Entertainment
5284,70%,DONTNOD Entertainment
5285,100%,Uruca Game Studio
5286,34%,CrySmith
5287,57%,Pudding
5288,90%,TapBlaze
5289,71%,Landfall
5290,68%,Tin Man Games
5291,83%,RMking
5292,91%,ANG People s.r.o.
5293,95%,Playcademy
5294,64%,"SGS, GQG Dev"
5295,78%,Goblinz Studio
5296,96%,Pixoala
5297,65%,Nils Jakrins
5298,80%,Fabio Ferrara
5299,81%,NukGames
5300,65%,
5301,100%,
5302,77%,DNZY Games
5303,81%,Bullid Games
5304,40%,Ntroy LTD
5305,100%,Flying. Stone. Production
5306,100%,Iced Lizard Games
5307,90%,Bullid Games
5308,60%,"eJaw, Creobit"
5309,91%,
5310,92%,Zazulin Alexander
5311,41%,VicX Studio
5312,67%,stillalive studios
5313,68%,Logos Universe
5314,80%,Defiant Development
5315,90%,一次元创作组
5316,74%,Bugbear
5317,71%,
5318,80%,Lunar Rooster
5319,100%,Ithaqua Labs
5320,100%,07th Expansion
5321,71%,Pyxton Studios
5322,45%,Dark Amber Softworks
5323,100%,Nickervision Studios
5324,83%,TT Games
5325,79%,Volcanic Giraffe
5326,100%,Kastrye
5327,83%,Shard Real
5328,100%,Billy Chan
5329,91%,Dr_Crewcut
5330,45%,
5331,100%,
5332,100%,"Creobit, Workroom7"
5333,58%,exaQuark
5334,57%,"Suzhou DaYu Network Technology Co., Ltd."
5335,90%,Blender Games
5336,71%,MoeNovel
5337,88%,Below the Game
5338,60%,Hentai.US
5339,46%,WARMA Corporation
5340,71%,Red Hook Studios
5341,78%,Red Hook Studios
5342,88%,Anima Project
5343,84%,NorthernBytes Software
5344,50%,Starodymov
5345,92%,Sulton
5346,100%,NS STUDIO
5347,83%,Avasion
5348,77%,DRUNKEN APES
5349,75%,NedoStudio
5350,79%,Flat Earth Games
5351,50%,Military Operations
5352,41%,OrangesGame Technology Limited
5353,100%,O.T.K Games
5354,100%,ChiHeBang Studio
5355,83%,
5356,92%,"CreSpirit, Storia, Narrator"
5357,57%,Chongming Studio
5358,82%,WooJuDev
5359,93%,Resonair
5360,43%,Pegnio Ltd
5361,84%,Hi-Rez Studios
5362,92%,Studio Élan
5363,40%,Gyro-Games Inc.
5364,55%,SVGames
5365,75%,
5366,94%,"Maciej Targoni, Wojciech Wasiak"
5367,93%,"Vicarious Visions, Iron Galaxy"
5368,76%,Dharker Studio
5369,96%,Lose
5370,47%,Triority
5371,85%,UMBRESS
5372,41%,Ragdoll Inc
5373,78%,КиКо
5374,94%,Play Cute
5375,80%,Play Cute
5376,80%,BVR Game
5377,93%,Bmc Studio
5378,91%,殇葵(K.)
5379,91%,stillalive studios
5380,79%,Deothic
5381,94%,Spasman Games
5382,67%,
5383,96%,Alex_redmiau
5384,76%,"Grey Havens, LLC"
5385,87%,Kokoko Soft
5386,81%,SEGA
5387,61%,KADOKAWA CORPORATION
5388,68%,Dreamz Studio
5389,91%,Transolar Games
5390,78%,Frontier Developments
5391,15%,Xaviant
5392,90%,The World Outside
5393,93%,"Batterystaple Games, Fire Hose Games"
5394,91%,Gaddy Games
5395,43%,Lionmoon UG
5396,92%,Studio Nanafushi
5397,98%,Flat Chest Dev
5398,84%,Erebus
5399,88%,Amamori Lab
5400,73%,BurningDust Games
5401,45%,Primitive Studio
5402,71%,SAFING
5403,76%,Farsky Interactive
5404,73%,Small Bros
5405,80%,DanD
5406,56%,Define Human Studios
5407,80%,Giant Evil Robot
5408,54%,Yeli Orog
5409,72%,Childish Things Ltd
5410,82%,Dan Smith Studios
5411,63%,Holospark
5412,100%,Zazulin Alexander
5413,100%,Zazulin Alexander
5414,75%,
5415,70%,mirzagame5
5416,87%,AstroPenguin642
5417,70%,Playsaurus
5418,72%,MUIFWEGO
5419,40%,"Independent Arts Software, upjers"
5420,84%,Games From The Deep
5421,72%,Llamasoft Ltd.
5422,93%,Emir Cerimovic
5423,83%,Climax Studios
5424,100%,Jason Aldred
5425,68%,Agent Mega
5426,92%,Fairy Forest
5427,85%,Jupiter Lighthouse Games
5428,91%,no_rest
5429,81%,Aragronks Games
5430,81%,Madhouse Software
5431,90%,DigiPen Press
5432,93%,
5433,100%,Koruka
5434,59%,
5435,83%,Aventy's team
5436,66%,NHTV Breda University of Applied Sciences
5437,72%,Suspicious Box
5438,61%,"CAPCOM CO., LTD"
5439,71%,LizardKing
5440,63%,XGen Studios
5441,77%,IguanaBee
5442,90%,IPACS
5443,96%,"Antimatter Games, Tripwire Interactive"
5444,77%,Drakkar Dev
5445,94%,Nihon Falcom
5446,96%,NS STUDIO
5447,96%,SCS Software
5448,66%,Forged Chaos LLC
5449,84%,Choice of Games
5450,95%,Gold5Games
5451,98%,Innocent Grey
5452,50%,上海杜昂网络科技有限公司
5453,100%,Frontwing
5454,97%,nitopu
5455,96%,KAGAMI WORKs
5456,71%,Winter Bloom
5457,86%,Petrodiy-Games
5458,83%,Aurox Studios
5459,100%,Benjy Bates
5460,86%,Brimstone
5461,82%,Lonely Boy Studio Inc.
5462,78%,Marching Simulator
5463,90%,Gamenesis
5464,87%,Madowl Games
5465,90%,Fntastic
5466,40%,Codev Games
5467,97%,Hollowings
5468,62%,Red Dev Studio Sp. z o.o.
5469,88%,Lost in the Garden
5470,88%,
5471,87%,Trese Brothers
5472,85%,Brwarner Studios
5473,50%,
5474,40%,Black Book Development
5475,66%,
5476,82%,Sleepy Duck
5477,96%,Spooky Squid Games Inc.
5478,61%,Xefier Games Inc.
5479,98%,Team Navigator
5480,87%,Date/Time
5481,56%,Julian Henley
5482,67%,Superstruct
5483,52%,Netease Games
5484,46%,
5485,68%,"Tiny Rebel Games, Seed Studio"
5486,76%,Crisp App Studio
5487,10%,
5488,64%,Jumb-O-Fun Games Inc
5489,43%,Wamill
5490,92%,Jonathan Wood
5491,53%,Milepost Simulations
5492,72%,Chibig
5493,97%,"CAPCOM Co., Ltd."
5494,94%,"CAPCOM Co., Ltd."
5495,100%,
5496,42%,Gamenesis
5497,100%,Happy Snake
5498,95%,Choice of Games
5499,82%,Payload Studios
5500,85%,DillyFrame
5501,60%,Jakub Klementewicz
5502,80%,"Firecast Studio, Fableware Narrative Design"
5503,50%,Simple Racing
5504,100%,ShiinaYashiro
5505,90%,Big Evil Corporation
5506,92%,Studio Nihilominus
5507,87%,Kimmo Lahtinen
5508,82%,Rati Wattanakornprasit
5509,93%,Laplacian
5510,73%,Games for May
5511,41%,Tainted Games
5512,68%,Game2Gather
5513,81%,
5514,94%,6 Eyes Studio
5515,100%,Mikołaj Spychał
5516,81%,PanicBarn
5517,94%,離水三尺工作室
5518,100%,離水三尺工作室
5519,50%,Rainbow Leopard Studio
5520,86%,Flyleap Studios
5521,95%,ToastieLabs
5522,95%,Argent Games
5523,66%,VergeXGamer
5524,56%,"PigDogGames,LLC"
5525,77%,"AQURIA Co., Ltd."
5526,70%,Astonia Reborn
5527,18%,
5528,90%,D3T
5529,70%,Creative Storm Entertainment
5530,97%,PixelFade Inc
5531,71%,Lost Tower Games
5532,81%,SaFiKiK
5533,52%,302 Interactive
5534,65%,Hentai.US
5535,77%,"La’cryma, YAMAYURI GAMES"
5536,92%,AsicxArt
5537,92%,Roest
5538,100%,Ominous Entertainment
5539,26%,云wind
5540,82%,ALTER-BOY
5541,77%,Digital Confectioners
5542,74%,Rebellion
5543,86%,
5544,72%,Studio Saizensen
5545,80%,Lucid Games Ltd
5546,52%,Runewaker Entertainment
5547,84%,Creepy Jar
5548,64%,"Gamepires, Croteam"
5549,90%,"Gamepires, Croteam"
5550,79%,
5551,80%,DIMPS
5552,89%,Dymchick1
5553,81%,Magitech Games
5554,91%,Neotro Inc.
5555,93%,npckc
5556,66%,Starni Games
5557,100%,Antizero company
5558,81%,Norrman Brothers
5559,82%,SEKTOR GAMES
5560,36%,JMC Games
5561,83%,КиКо
5562,30%,UniSoft Games
5563,86%,P.S.B (iNsOoL)
5564,55%,Silver Lemur Games
5565,98%,t&amp;T Studios
5566,100%,Pocket Trap
5567,82%,Planet Alpha ApS
5568,50%,Gisa Ferreira
5569,96%,"Spike Chunsoft Co., Ltd., Abstraction Games"
5570,70%,上海アリス幻樂団
5571,82%,11V6BA
5572,100%,"CAPCOM Co., Ltd."
5573,69%,
5574,100%,"3RISE, 橘子班"
5575,81%,CasGames
5576,81%,Rocketeer Games Studio LLC
5577,97%,Green Dinosaur Games
5578,72%,КиКо
5579,95%,PLAYMIND
5580,40%,"IV Productions, Game-S"
5581,90%,Tasty Delicious Games
5582,64%,OfficialAndy
5583,70%,Monster Games
5584,96%,ToastieLabs
5585,98%,Canvas+Garden
5586,83%,
5587,81%,CSM
5588,98%,
5589,80%,Slightly Mad Studios
5590,94%,Quiet River
5591,90%,Think Inside The Box
5592,76%,
5593,82%,
5594,39%,"Rebel Games, Team6 game studios"
5595,86%,LuGus Studios
5596,66%,smakarov3
5597,93%,RedRuins Softworks
5598,92%,Grundislav Games
5599,97%,La Moutarde
5600,71%,DigiMight
5601,82%,RLR Training Inc
5602,68%,Mode 7
5603,72%,Axis Games
5604,80%,For Kids
5605,100%,"IMLBE, Dnovel"
5606,89%,Playful Corp.
5607,63%,"Armature Studio, Comcept"
5608,70%,"Frontier Developments, Asobo Studio"
5609,51%,Xaviant
5610,100%,MyDreamForever
5611,100%,Dan Fornace
5612,80%,Oriolus Software GmbH
5613,76%,Soldak Entertainment
5614,64%,Prince Game Studio
5615,83%,Salamandra88
5616,77%,Convoy Games
5617,92%,Nova-box
5618,100%,
5619,93%,
5620,95%,Redact Games
5621,100%,Invictus Games Ltd.
5622,87%,HAN XU
5623,94%,George Mandell
5624,86%,PlatSTUDIO
5625,71%,Hoplon
5626,72%,Tencent Games
5627,91%,Tencent Games
5628,50%,Fun Games For Free
5629,88%,ConchShip Games
5630,92%,ConchShip Games
5631,84%,Rebuilt Games
5632,87%,弦语蝶梦
5633,84%,4188
5634,96%,Artifex Mundi
5635,61%,KX  Games
5636,47%,JMV
5637,70%,
5638,83%,
5639,63%,"Psyonix, Inc."
5640,100%,DimleTeam
5641,77%,"Ryu Productions Co., Ltd"
5642,78%,Good Game Co.Ltd
5643,92%,Darkflow Software
5644,93%,
5645,94%,DevilishGames
5646,39%,Pentacle
5647,79%,Ellada Games
5648,66%,Stunlock Studios
5649,89%,DONTNOD Entertainment
5650,75%,Stunlock Studios
5651,75%,Snowhound Games
5652,77%,"Spike Chunsoft Co., Ltd."
5653,75%,The Sherrinford
5654,70%,
5655,86%,Glowstick Entertainment
5656,88%,Checkmaty
5657,66%,KicklessGame
5658,88%,Cheerdealers
5659,97%,Neko Climax Studios
5660,64%,RewindApp
5661,89%,Cursebox Studios
5662,58%,Mono Studio
5663,71%,Ammobox Studios
5664,75%,FreezeNova
5665,62%,
5666,76%,ToastieLabs
5667,44%,Pudding
5668,55%,Industry Games
5669,82%,Wipe Studio
5670,62%,Inu to Neko
5671,93%,Hernan Caro Vilaburges
5672,85%,Biubiubiu
5673,24%,SystemSoft Alpha Corporation
5674,68%,Sonic Shield
5675,51%,"X-Legend Entertainment Co., Ltd."
5676,66%,LLC RIKOR IMT
5677,76%,Playtouch
5678,46%,Game Hollywood
5679,80%,Timeslip Softworks
5680,78%,Stray Fawn Studio
5681,74%,"Ghost Town Games Ltd., Team17 Digital Ltd"
5682,91%,Cold Beam Games
5683,100%,Flow Fire Games
5684,91%,
5685,100%,"CAPCOM Co., Ltd."
5686,96%,"CAPCOM Co., Ltd."
5687,91%,"CAPCOM Co., Ltd."
5688,89%,"CAPCOM Co., Ltd."
5689,83%,"CAPCOM Co., Ltd."
5690,89%,"Ubisoft Quebec, Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Singapore, Ubisoft Montpellier, Ubisoft Kiev, Ubisoft Shanghai"
5691,41%,Out of the Park Developments
5692,77%,"Ubisoft Quebec, Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Singapore, Ubisoft Montpellier, Ubisoft Kiev, Ubisoft Shanghai"
5693,68%,Aggroblakh
5694,67%,Different Game Studio
5695,87%,Dymchick1
5696,89%,Roman Shuvalov
5697,100%,Red Dot Games
5698,78%,RewindApp
5699,88%,
5700,66%,"Visual Concepts, Yuke's Co., LTD"
5701,64%,"Visual Concepts, Yuke's Co., LTD"
5702,70%,
5703,40%,"Tinkr, Inc."
5704,89%,NAYUTA STUDIO
5705,87%,George Constantinou
5706,88%,SHIBAPOWER
5707,62%,Good Free Games To Play
5708,91%,2ndUp Studios
5709,87%,98DEMAKE
5710,82%,"CAPCOM Co., Ltd."
5711,100%,Milkstone Studios
5712,42%,
5713,83%,LeonWaan Games
5714,94%,Edym Pixels
5715,85%,"Warcave, Crazy Monkey Studios"
5716,83%,ZingFront
5717,60%,梵天游戏
5718,69%,"TatriX, Nanalli"
5719,90%,Storming Tech
5720,88%,Selo tech.corp.
5721,91%,"Arcen Games, LLC"
5722,75%,Winged Cloud
5723,97%,Daniel Mullins Games
5724,76%,
5725,100%,Weather Factory
5726,90%,Dingo Games
5727,57%,Nincent
5728,90%,TAITO CORP.
5729,91%,Ironhide Game Studio
5730,45%,Spacepup Entertainment
5731,93%,Dilemmastudio-困境游戏
5732,46%,NEOWIZ
5733,82%,MagicK
5734,70%,Divinit Entertainment
5735,89%,Mature Games
5736,89%,OneShark
5737,83%,tri-Ace
5738,49%,Luckyhammers
5739,95%,Lemon Curd Games
5740,76%,"Jackbox Games, Inc."
5741,97%,Ludeon Studios
5742,81%,Flying Islands Team
5743,100%,Rightstick Studios
5744,89%,TT Games
5745,78%,TT Games
5746,100%,Dan Fornace
5747,76%,Sinkhole Studio
5748,58%,Saber Interactive
5749,84%,Purple Studios
5750,97%,Hypersect
5751,95%,Orange_Juice
5752,81%,"KOEI TECMO GAMES CO., LTD."
5753,72%,"KOEI TECMO GAMES CO., LTD."
5754,72%,萌约制作组
5755,88%,橘喵喵
5756,66%,Frontier Developments
5757,91%,Deceptive Games Ltd.
5758,100%,Corey Martin
5759,69%,DeSync Studios
5760,72%,TrickeySoft LLC
5761,80%,Far Road Games
5762,96%,Thylacine Studios
5763,85%,Kite Games
5764,84%,TeamNPC
5765,6%,Fury Games Production
5766,90%,Zelenov Artem
5767,68%,Digital Melody
5768,84%,CharlerMaster
5769,88%,Mirain Mainklain
